pm25,temperature,datetime,humidity
9.73,9.29,2023-01-02 20:00:00+00:00,73.71
10.46,9.02,2023-01-02 21:00:00+00:00,72.01
4.43,8.8,2023-01-02 22:00:00+00:00,69.35
3.95,8.67,2023-01-02 23:00:00+00:00,68.28
3.14,8.54,2023-01-03 00:00:00+00:00,69.09
2.86,8.45,2023-01-03 01:00:00+00:00,68.69
2.64,8.33,2023-01-03 02:00:00+00:00,67.99
2.98,8.11,2023-01-03 03:00:00+00:00,68.56
6.02,7.31,2023-01-03 04:00:00+00:00,71.01
9.72,6.61,2023-01-03 05:00:00+00:00,74.07
23.76,5.76,2023-01-03 06:00:00+00:00,81.69
41.39,5.37,2023-01-03 07:00:00+00:00,84.09
43.88,5.48,2023-01-03 08:00:00+00:00,84.85
34.61,6.33,2023-01-03 09:00:00+00:00,83.73
41.28,6.73,2023-01-03 10:00:00+00:00,85.58
50.83,7.57,2023-01-03 11:00:00+00:00,86.47
49.02,8.44,2023-01-03 12:00:00+00:00,86.11
38.82,9.08,2023-01-03 13:00:00+00:00,84.15
26.45,9.59,2023-01-03 14:00:00+00:00,81.97
20.67,9.87,2023-01-03 15:00:00+00:00,80.08
17.51,9.46,2023-01-03 16:00:00+00:00,81.31
15.95,9.34,2023-01-03 17:00:00+00:00,81.77
16.36,9.47,2023-01-03 18:00:00+00:00,82.44
15.44,9.73,2023-01-03 19:00:00+00:00,81.82
13.29,9.94,2023-01-03 20:00:00+00:00,81.4
12.97,10.12,2023-01-03 21:00:00+00:00,80.52
11.99,10.32,2023-01-03 22:00:00+00:00,80.1
12.78,10.34,2023-01-03 23:00:00+00:00,82.4
13.56,10.04,2023-01-04 00:00:00+00:00,87.4
12.47,10.15,2023-01-04 01:00:00+00:00,89.31
13.01,10.55,2023-01-04 03:00:00+00:00,89.95
13.06,10.56,2023-01-04 04:00:00+00:00,91.1
14.45,10.65,2023-01-04 05:00:00+00:00,91.34
13.74,10.76,2023-01-04 07:00:00+00:00,91.21
18.05,10.62,2023-01-04 08:00:00+00:00,91.69
20.53,10.73,2023-01-04 09:00:00+00:00,92.58
23.56,11.59,2023-01-04 10:00:00+00:00,89.49
20.62,11.3,2023-01-04 11:00:00+00:00,90.67
19.48,10.99,2023-01-04 12:00:00+00:00,91.99
21.85,11.09,2023-01-04 13:00:00+00:00,90.69
19.41,11.1,2023-01-04 14:00:00+00:00,90.04
19.77,10.97,2023-01-04 15:00:00+00:00,89.71
19.88,10.85,2023-01-04 16:00:00+00:00,89.22
