datetime,pm25,pm25_mean,pm25_NL49570,pm25_NL49557,pm25_NL49553,pm25_NL49572,pm25_NL49573,pm25_NL49551,winddirection,windspeed,temperature,humidity,sensorname,pm25_diff_WE,pm25_diff_NS,pm25_diff_coloc,pm25_upwind,pm25_diff_winddirection
2023-01-01 05:00:00+00:00,9.1,10.0875,15.2,10.9,12.5,7.5,12.3,16.7,220.0,15.0,,,superFrame,4.800000000000001,-5.799999999999999,-1.5999999999999996,16.7,-5.799999999999999
2023-01-01 06:00:00+00:00,8.55,8.55625,15.9,16.0,16.0,8.5,9.7,10.0,210.0,14.0,,,superFrame,1.1999999999999993,6.0,0.0,10.0,6.0
2023-01-01 07:00:00+00:00,9.55,9.05,15.7,13.0,12.0,16.0,10.1,10.0,220.0,14.0,,,superFrame,-5.9,3.0,1.0,10.0,3.0
2023-01-01 08:00:00+00:00,9.2,8.31875,16.0,13.5,10.7,16.8,9.8,5.0,220.0,12.0,,,superFrame,-7.0,8.5,2.8000000000000007,5.0,8.5
2023-01-01 09:00:00+00:00,8.45,8.99375,16.0,14.6,11.6,7.7,9.1,3.3,220.0,12.0,,,superFrame,1.3999999999999995,11.3,3.0,3.3,11.3
2023-01-01 10:00:00+00:00,7.85,7.587499999999999,13.6,13.0,12.2,9.6,10.3,5.5,210.0,12.0,,,superFrame,0.7000000000000011,7.5,0.8000000000000007,5.5,7.5
2023-01-01 11:00:00+00:00,6.95,6.675,10.8,10.9,11.3,13.3,6.9,5.1,210.0,12.0,,,superFrame,-6.4,5.800000000000001,-0.40000000000000036,5.1,5.800000000000001
2023-01-01 12:00:00+00:00,6.699999999999999,6.54375,10.2,11.9,12.5,5.3,6.1,6.6,210.0,14.0,,,superFrame,0.7999999999999998,5.300000000000001,-0.5999999999999996,6.6,5.300000000000001
2023-01-01 13:00:00+00:00,8.350000000000001,9.71875,10.3,12.1,12.3,19.1,8.4,10.5,210.0,13.0,,,superFrame,-10.700000000000001,1.5999999999999996,-0.20000000000000107,10.5,1.5999999999999996
2023-01-01 14:00:00+00:00,7.949999999999999,8.10625,11.8,11.7,11.9,9.3,8.7,12.2,210.0,10.0,,,superFrame,-0.6000000000000014,-0.5,-0.20000000000000107,12.2,-0.5
2023-01-01 15:00:00+00:00,7.550000000000001,7.55,9.1,11.4,13.7,6.5,5.8,12.0,200.0,8.0,,,superFrame,-0.7000000000000002,-0.5999999999999996,-2.299999999999999,12.0,-0.5999999999999996
2023-01-01 16:00:00+00:00,7.15,8.2625,8.1,21.6,19.6,5.4,5.3,9.7,190.0,7.0,,,superFrame,-0.10000000000000053,11.900000000000002,2.0,9.7,11.900000000000002
2023-01-01 17:00:00+00:00,9.7,11.38125,9.5,25.3,14.2,18.9,4.2,9.5,180.0,7.0,,,superFrame,-14.7,15.8,11.100000000000001,9.5,15.8
2023-01-01 18:00:00+00:00,10.25,10.45,12.3,20.8,14.0,13.5,5.4,11.7,170.0,4.0,,,superFrame,-8.1,9.100000000000001,6.800000000000001,11.7,9.100000000000001
2023-01-01 19:00:00+00:00,9.95,11.475,14.7,10.1,14.5,11.7,9.0,12.8,180.0,7.0,,,superFrame,-2.6999999999999993,-2.700000000000001,-4.4,12.8,-2.700000000000001
2023-01-01 20:00:00+00:00,7.6,8.24375,7.9,10.4,14.8,6.9,7.9,9.5,180.0,5.0,,,superFrame,1.0,0.9000000000000004,-4.4,9.5,0.9000000000000004
2023-01-01 21:00:00+00:00,7.949999999999999,8.50625,11.2,9.5,12.3,6.2,8.1,18.2,140.0,3.0,,,superFrame,1.8999999999999995,-8.7,-2.8000000000000007,18.2,-8.7
2023-01-01 22:00:00+00:00,7.8,7.325,9.3,10.8,10.6,9.6,7.5,13.3,150.0,3.0,,,superFrame,-2.0999999999999996,-2.5,0.20000000000000107,13.3,-2.5
2023-01-01 23:00:00+00:00,7.0,7.743749999999999,6.9,9.2,10.2,2.4,7.1,13.1,190.0,7.0,,,superFrame,4.699999999999999,-3.9000000000000004,-1.0,13.1,-3.9000000000000004
2023-01-02 00:00:00+00:00,7.35,7.4125,5.7,10.2,18.7,1.8,4.9,11.1,170.0,3.0,,,superFrame,3.1000000000000005,-0.9000000000000004,-8.5,11.1,-0.9000000000000004
2023-01-02 01:00:00+00:00,8.8,9.73125,9.1,20.7,15.6,7.6,8.5,7.6,190.0,6.0,,,superFrame,0.9000000000000004,13.1,5.1,7.6,13.1
2023-01-02 02:00:00+00:00,10.65,11.64375,11.3,21.1,19.0,8.0,8.6,6.0,200.0,9.0,,,superFrame,0.5999999999999996,15.100000000000001,2.1000000000000014,6.0,15.100000000000001
2023-01-02 03:00:00+00:00,9.5,8.575,9.9,13.9,14.3,6.6,6.2,7.0,210.0,8.0,,,superFrame,-0.39999999999999947,6.9,-0.40000000000000036,7.0,6.9
2023-01-02 04:00:00+00:00,9.35,8.59375,10.4,13.9,13.4,4.0,9.2,7.1,230.0,8.0,,,superFrame,5.199999999999999,6.800000000000001,0.5,9.2,-5.199999999999999
