pm25,temperature,datetime,humidity
8.69,18.84,2023-02-15 07:00:00+00:00,44.86
8.19,18.75,2023-02-15 08:00:00+00:00,44.97
8.59,18.82,2023-02-15 09:00:00+00:00,44.96
15.46,18.91,2023-02-15 10:00:00+00:00,44.54
20.74,19.03,2023-02-15 11:00:00+00:00,44.16
19.09,19.19,2023-02-15 12:00:00+00:00,43.76
17.04,19.44,2023-02-15 13:00:00+00:00,44.03
14.81,19.63,2023-02-15 14:00:00+00:00,44.09
12.97,19.7,2023-02-15 15:00:00+00:00,44.44
11.4,20.09,2023-02-15 16:00:00+00:00,44.71
11.12,20.21,2023-02-15 17:00:00+00:00,44.18
10.72,19.92,2023-02-15 18:00:00+00:00,45.23
11.23,19.99,2023-02-15 19:00:00+00:00,45.12
12.79,20.37,2023-02-15 20:00:00+00:00,45.44
15.3,20.55,2023-02-15 21:00:00+00:00,45.12
15.65,20.66,2023-02-15 22:00:00+00:00,44.97
15.39,20.72,2023-02-15 23:00:00+00:00,44.69
14.22,20.79,2023-02-16 00:00:00+00:00,44.23
13.38,20.67,2023-02-16 01:00:00+00:00,44.01
13.32,20.45,2023-02-16 02:00:00+00:00,43.9
12.35,20.32,2023-02-16 03:00:00+00:00,43.81
11.88,20.22,2023-02-16 04:00:00+00:00,43.76
11.67,20.07,2023-02-16 05:00:00+00:00,43.7
11.38,19.98,2023-02-16 06:00:00+00:00,43.71
11.37,19.91,2023-02-16 07:00:00+00:00,43.75
11.83,19.9,2023-02-16 08:00:00+00:00,43.73
13.39,19.99,2023-02-16 09:00:00+00:00,44.82
13.35,20.19,2023-02-16 10:00:00+00:00,44.99
12.73,20.2,2023-02-16 11:00:00+00:00,44.61
12.47,20.24,2023-02-16 12:00:00+00:00,45.53
11.81,20.35,2023-02-16 13:00:00+00:00,45.06
8.58,20.31,2023-02-16 14:00:00+00:00,45.0
8.16,20.24,2023-02-16 15:00:00+00:00,45.52
7.01,20.43,2023-02-16 16:00:00+00:00,46.41
6.55,20.49,2023-02-16 17:00:00+00:00,46.96
5.54,18.76,2023-02-16 18:00:00+00:00,49.86
4.78,18.54,2023-02-16 19:00:00+00:00,50.6
4.25,18.47,2023-02-16 20:00:00+00:00,50.88
4.38,18.5,2023-02-16 21:00:00+00:00,51.57
4.62,18.7,2023-02-16 22:00:00+00:00,51.36
4.1,18.78,2023-02-16 23:00:00+00:00,51.34
3.41,18.84,2023-02-17 00:00:00+00:00,51.24
3.21,18.84,2023-02-17 01:00:00+00:00,51.02
3.25,18.78,2023-02-17 03:00:00+00:00,50.52
2.92,18.75,2023-02-17 04:00:00+00:00,50.38
2.99,18.7,2023-02-17 05:00:00+00:00,50.26
3.36,18.7,2023-02-17 06:00:00+00:00,50.16
3.29,18.62,2023-02-17 07:00:00+00:00,50.06
3.72,18.62,2023-02-17 08:00:00+00:00,50.05
4.0,18.57,2023-02-17 09:00:00+00:00,50.21
6.27,18.55,2023-02-17 10:00:00+00:00,50.39
4.63,18.51,2023-02-17 11:00:00+00:00,50.67
4.3,18.52,2023-02-17 12:00:00+00:00,50.83
3.33,18.56,2023-02-17 14:00:00+00:00,51.01
4.04,18.44,2023-02-17 15:00:00+00:00,51.63
4.28,18.44,2023-02-17 16:00:00+00:00,52.04
4.32,18.41,2023-02-17 17:00:00+00:00,52.11
3.87,18.42,2023-02-17 18:00:00+00:00,52.15
3.32,18.43,2023-02-17 19:00:00+00:00,52.23
2.88,18.52,2023-02-17 20:00:00+00:00,52.53
