pm25_HLL_545,temperature_HLL_545,datetime,humidity_HLL_545,pm25_HLL_549,temperature_HLL_549,humidity_HLL_549,pm25_HLL_420,temperature_HLL_420,humidity_HLL_420,pm25_HLL_541,temperature_HLL_541,humidity_HLL_541,pm25_NL49570,pm25_NL49701,winddirection,windspeed,temperature_knmi,humidity_knmi
9.14,21.2,2023-07-28 07:00:00+00:00,80.93,9.26,21.5,80.96,7.92,20.24,86.97,10.65,20.56,85.27,3.0,8.4,240.0,7.0,,
10.05,21.25,2023-07-28 08:00:00+00:00,79.96,10.17,21.67,79.29,7.72,20.71,84.88,10.59,20.94,83.45,7.1,7.9,240.0,6.0,,
9.52,20.86,2023-07-28 09:00:00+00:00,81.64,10.3,21.08,82.0,6.96,20.45,84.99,9.84,20.66,83.61,6.5,7.8,230.0,7.0,,
7.6,22.24,2023-07-28 10:00:00+00:00,76.11,8.09,22.64,75.42,7.34,20.71,82.59,9.95,20.85,81.41,5.0,8.3,220.0,7.0,,
7.05,23.77,2023-07-28 11:00:00+00:00,69.62,7.4,24.58,67.81,6.89,21.47,79.19,9.6,21.57,78.37,5.8,7.1,230.0,7.0,,
6.09,23.19,2023-07-28 12:00:00+00:00,70.08,6.33,24.2,67.72,5.75,23.48,71.49,8.33,23.45,71.0,5.4,7.3,230.0,8.0,,
5.68,25.73,2023-07-28 13:00:00+00:00,61.91,6.04,26.55,60.87,5.22,24.73,66.51,7.51,24.5,66.37,4.3,7.3,240.0,9.0,,
4.75,27.09,2023-07-28 15:00:00+00:00,55.1,4.63,28.83,52.31,2.56,26.62,55.89,3.56,26.44,55.42,2.4,3.2,230.0,7.0,,
3.54,25.97,2023-07-28 16:00:00+00:00,59.39,3.84,27.35,56.57,2.84,24.91,63.02,4.13,24.67,62.85,0.4,4.1,220.0,6.0,,
2.06,24.57,2023-07-28 17:00:00+00:00,63.2,1.87,25.8,60.73,3.36,23.41,66.68,5.2,23.24,66.45,1.4,3.2,210.0,6.0,,
1.65,22.55,2023-07-28 18:00:00+00:00,67.92,1.72,23.77,64.64,1.36,22.68,66.71,1.65,22.52,66.3,-0.1,1.3,220.0,7.0,,
2.28,20.92,2023-07-28 19:00:00+00:00,72.76,2.3,21.66,70.58,1.37,21.88,69.03,1.63,21.83,68.41,-2.0,1.1,210.0,8.0,,
2.4,19.61,2023-07-28 20:00:00+00:00,78.52,2.62,19.99,77.85,2.23,20.43,74.67,2.97,20.46,74.1,1.7,2.0,210.0,8.0,,
2.79,19.16,2023-07-28 21:00:00+00:00,80.97,2.82,19.29,81.42,1.73,19.85,78.53,2.33,19.97,77.44,3.7,1.8,220.0,9.0,,
4.59,19.2,2023-07-28 22:00:00+00:00,82.57,5.02,19.27,83.23,2.22,19.6,81.13,2.68,19.75,80.06,2.7,2.1,210.0,7.0,,
3.14,18.73,2023-07-28 23:00:00+00:00,83.79,3.33,18.87,84.58,2.36,19.03,83.79,3.42,19.23,82.53,2.3,2.8,220.0,7.0,,
3.77,18.36,2023-07-29 00:00:00+00:00,82.75,4.17,18.37,83.94,2.25,18.27,85.02,3.05,18.51,83.74,2.3,2.5,220.0,9.0,,
3.84,18.46,2023-07-29 01:00:00+00:00,79.76,4.16,18.42,81.01,1.86,18.03,84.54,2.6,18.28,82.91,4.4,2.2,220.0,11.0,,
4.48,18.4,2023-07-29 02:00:00+00:00,79.51,4.49,18.38,80.42,2.01,18.17,82.05,2.7,18.46,80.29,4.1,2.3,230.0,10.0,,
4.58,18.28,2023-07-29 03:00:00+00:00,81.54,5.06,18.23,82.76,2.46,17.77,83.3,3.57,18.07,81.34,-0.3,3.1,230.0,9.0,,
3.94,18.34,2023-07-29 04:00:00+00:00,81.5,4.55,18.31,82.64,2.77,17.46,84.07,3.87,17.78,81.92,-1.3,3.5,230.0,10.0,,
3.45,18.52,2023-07-29 05:00:00+00:00,81.34,4.04,18.51,82.42,3.29,17.53,85.82,4.41,17.77,83.89,1.7,3.9,230.0,11.0,,
3.46,19.33,2023-07-29 06:00:00+00:00,79.95,3.7,19.39,80.76,3.12,18.49,83.8,4.38,18.73,82.1,1.2,4.0,240.0,10.0,,
3.63,20.27,2023-07-29 07:00:00+00:00,76.95,3.91,20.3,77.6,2.07,19.53,81.22,3.05,19.8,79.25,2.9,3.3,240.0,11.0,,
3.13,21.12,2023-07-29 08:00:00+00:00,73.52,3.65,21.61,72.75,1.77,20.93,76.89,2.32,20.96,75.88,2.3,2.6,240.0,11.0,,
4.08,21.18,2023-07-29 10:00:00+00:00,72.31,4.32,21.57,71.55,2.21,20.92,73.41,3.05,20.85,72.87,1.8,3.4,240.0,10.0,,
3.46,21.76,2023-07-29 11:00:00+00:00,70.41,3.64,22.36,69.38,2.31,21.3,73.92,2.91,21.19,72.72,2.3,3.4,230.0,11.0,,
1.94,24.03,2023-07-29 12:00:00+00:00,57.77,2.05,24.95,57.18,1.37,23.54,63.54,1.95,23.29,63.55,0.5,2.5,230.0,9.0,,
1.42,27.04,2023-07-29 13:00:00+00:00,53.4,1.58,27.89,51.51,0.73,25.99,55.09,1.1,25.56,55.61,-0.7,1.2,230.0,8.0,,
1.41,27.44,2023-07-29 14:00:00+00:00,51.77,1.51,28.63,49.64,0.76,25.18,57.03,0.88,26.14,53.66,1.9,0.7,230.0,9.0,,
1.9,26.15,2023-07-29 15:00:00+00:00,54.33,2.07,27.25,52.3,1.14,26.12,53.35,1.43,26.56,51.46,-2.1,1.3,230.0,9.0,,
3.0,25.62,2023-07-29 16:00:00+00:00,55.17,3.25,26.75,53.45,1.68,25.46,52.84,2.39,26.3,49.69,-1.6,2.7,230.0,10.0,,
3.39,24.58,2023-07-29 17:00:00+00:00,56.41,3.56,25.77,53.95,1.68,24.21,55.04,2.4,25.45,50.61,2.3,3.3,230.0,10.0,,
5.47,21.62,2023-07-29 18:00:00+00:00,66.81,6.07,23.57,61.34,2.34,23.73,58.08,3.51,23.65,57.33,2.1,5.1,230.0,11.0,,
7.31,20.07,2023-07-29 19:00:00+00:00,73.2,7.57,21.0,70.36,3.81,21.28,67.09,4.93,21.31,66.21,6.4,7.2,230.0,11.0,,
8.73,19.29,2023-07-29 20:00:00+00:00,77.53,9.0,19.56,77.3,4.13,19.86,74.26,5.97,19.87,73.25,9.0,8.4,220.0,10.0,,
8.68,18.76,2023-07-29 21:00:00+00:00,80.39,9.34,18.87,80.93,4.99,18.99,79.3,7.14,19.1,78.13,5.6,9.6,220.0,11.0,,
9.22,18.35,2023-07-29 22:00:00+00:00,82.09,9.9,18.38,82.86,5.42,18.32,81.83,8.49,18.49,80.6,3.5,10.8,220.0,10.0,,
8.09,18.16,2023-07-29 23:00:00+00:00,82.8,9.38,18.16,83.72,4.89,17.85,83.04,7.54,18.04,81.55,4.9,10.4,220.0,11.0,,
9.11,18.38,2023-07-30 00:00:00+00:00,81.98,10.1,18.32,83.33,5.33,17.63,84.52,7.6,17.88,82.7,6.6,10.2,230.0,12.0,,
8.02,18.75,2023-07-30 01:00:00+00:00,80.12,8.74,18.77,81.22,4.69,18.2,83.86,7.48,18.52,81.82,8.8,9.6,240.0,10.0,,
7.34,18.56,2023-07-30 02:00:00+00:00,78.74,8.39,18.58,80.5,3.93,18.3,83.02,6.75,18.68,81.01,10.6,8.4,260.0,10.0,,
3.71,18.39,2023-07-30 03:00:00+00:00,65.63,4.35,18.35,67.15,2.87,18.15,74.8,4.16,18.53,72.6,8.8,6.5,250.0,11.0,,
3.71,18.34,2023-07-30 04:00:00+00:00,64.65,4.5,18.32,65.54,2.05,18.08,69.63,2.9,18.43,67.13,4.9,4.3,250.0,11.0,,
