pm25,temperature,datetime,humidity
24.84,3.67,2023-02-09 08:00:00+00:00,70.31
26.86,3.73,2023-02-09 09:00:00+00:00,71.21
30.22,4.52,2023-02-09 10:00:00+00:00,76.43
35.48,5.3,2023-02-09 11:00:00+00:00,80.18
40.77,5.62,2023-02-09 12:00:00+00:00,83.0
36.7,6.47,2023-02-09 13:00:00+00:00,84.89
41.71,6.54,2023-02-09 14:00:00+00:00,87.78
42.13,6.83,2023-02-09 15:00:00+00:00,87.36
36.18,6.9,2023-02-09 16:00:00+00:00,86.73
11.11,6.37,2023-02-09 17:00:00+00:00,83.94
5.78,5.93,2023-02-09 18:00:00+00:00,81.56
5.45,5.76,2023-02-09 19:00:00+00:00,80.51
5.61,5.73,2023-02-09 20:00:00+00:00,81.5
5.51,5.72,2023-02-09 21:00:00+00:00,82.36
5.49,5.66,2023-02-09 22:00:00+00:00,83.45
6.86,5.69,2023-02-09 23:00:00+00:00,84.2
6.99,5.74,2023-02-10 00:00:00+00:00,83.86
6.25,5.8,2023-02-10 01:00:00+00:00,81.19
6.76,5.81,2023-02-10 02:00:00+00:00,82.15
8.35,5.9,2023-02-10 03:00:00+00:00,83.7
9.23,5.88,2023-02-10 04:00:00+00:00,84.78
9.72,5.88,2023-02-10 05:00:00+00:00,85.14
11.0,5.75,2023-02-10 06:00:00+00:00,86.07
10.45,5.82,2023-02-10 07:00:00+00:00,86.77
9.59,5.94,2023-02-10 08:00:00+00:00,86.06
8.07,7.68,2023-02-10 09:00:00+00:00,78.82
8.19,9.49,2023-02-10 10:00:00+00:00,72.4
7.98,9.43,2023-02-10 11:00:00+00:00,70.66
21.65,8.52,2023-02-10 12:00:00+00:00,76.89
26.97,8.16,2023-02-10 13:00:00+00:00,77.4
33.11,8.11,2023-02-10 14:00:00+00:00,80.01
12.46,7.65,2023-02-10 15:00:00+00:00,78.99
34.41,7.04,2023-02-10 16:00:00+00:00,84.91
22.17,6.78,2023-02-10 17:00:00+00:00,84.66
29.19,6.8,2023-02-10 18:00:00+00:00,86.14
15.39,6.86,2023-02-10 19:00:00+00:00,85.01
16.08,6.98,2023-02-10 20:00:00+00:00,83.95
13.41,7.09,2023-02-10 21:00:00+00:00,84.37
12.35,7.24,2023-02-10 22:00:00+00:00,82.51
11.72,7.43,2023-02-10 23:00:00+00:00,83.1
13.25,7.29,2023-02-11 00:00:00+00:00,85.38
14.37,7.03,2023-02-11 01:00:00+00:00,87.95
18.59,6.91,2023-02-11 02:00:00+00:00,88.9
29.23,6.95,2023-02-11 03:00:00+00:00,89.92
33.06,7.06,2023-02-11 04:00:00+00:00,90.27
35.9,6.94,2023-02-11 05:00:00+00:00,91.05
