datetime,pm25,temperature,humidity
2023-01-01 00:00:00+00:00,38.88,16.06,62.68
2023-01-01 01:00:00+00:00,12.5,15.13,67.03
2023-01-01 03:00:00+00:00,7.93,14.07,71.02
2023-01-01 04:00:00+00:00,9.1,13.28,74.72
2023-01-01 05:00:00+00:00,10.88,12.18,78.18
2023-01-01 06:00:00+00:00,14.09,11.46,81.33
2023-01-01 07:00:00+00:00,12.62,11.35,81.49
2023-01-01 08:00:00+00:00,13.64,11.09,82.18
2023-01-01 09:00:00+00:00,12.73,10.88,82.0
2023-01-01 10:00:00+00:00,9.9,11.18,79.74
2023-01-01 11:00:00+00:00,7.48,11.81,77.07
2023-01-01 12:00:00+00:00,7.86,12.73,75.25
2023-01-01 13:00:00+00:00,7.47,12.96,73.48
2023-01-01 14:00:00+00:00,8.3,12.61,73.85
2023-01-01 15:00:00+00:00,6.04,12.62,74.35
2023-01-01 16:00:00+00:00,5.67,12.87,73.97
2023-01-01 17:00:00+00:00,6.34,12.69,76.73
2023-01-01 18:00:00+00:00,9.0,12.51,78.39
2023-01-01 19:00:00+00:00,9.87,12.18,80.66
2023-01-01 20:00:00+00:00,6.54,11.66,84.58
2023-01-01 21:00:00+00:00,9.97,11.42,88.84
2023-01-01 22:00:00+00:00,11.8,11.34,90.26
2023-01-01 23:00:00+00:00,12.95,11.37,91.03
2023-01-02 00:00:00+00:00,8.34,11.52,90.72
2023-01-02 01:00:00+00:00,19.37,11.55,90.86
2023-01-02 02:00:00+00:00,16.49,11.63,91.92
2023-01-02 03:00:00+00:00,15.45,11.76,92.02
2023-01-02 04:00:00+00:00,18.16,11.63,91.65
2023-01-02 05:00:00+00:00,10.51,10.89,90.11
2023-01-02 06:00:00+00:00,2.8,10.08,89.2
2023-01-02 07:00:00+00:00,2.58,9.74,89.34
2023-01-02 08:00:00+00:00,3.06,9.72,89.43
2023-01-02 09:00:00+00:00,2.73,9.69,86.58
2023-01-02 10:00:00+00:00,3.52,9.8,85.68
2023-01-02 11:00:00+00:00,4.97,10.17,86.45
2023-01-02 12:00:00+00:00,4.6,10.61,85.27
2023-01-02 13:00:00+00:00,4.8,10.43,86.41
2023-01-02 14:00:00+00:00,6.04,10.15,83.75
2023-01-02 15:00:00+00:00,4.84,9.85,80.63
2023-01-02 16:00:00+00:00,7.98,9.27,81.66
2023-01-02 17:00:00+00:00,8.22,8.67,80.19
2023-01-02 18:00:00+00:00,7.41,8.49,79.33
2023-01-02 19:00:00+00:00,11.15,8.3,77.9
2023-01-02 20:00:00+00:00,15.51,7.8,78.35
2023-01-02 21:00:00+00:00,6.27,7.79,76.95
2023-01-02 22:00:00+00:00,2.5,7.63,71.94
2023-01-02 23:00:00+00:00,3.49,7.4,71.16
2023-01-03 00:00:00+00:00,3.05,7.12,72.79
2023-01-03 01:00:00+00:00,2.79,6.88,73.61
2023-01-03 02:00:00+00:00,2.69,6.24,76.84
2023-01-03 03:00:00+00:00,4.08,5.22,80.38
2023-01-03 04:00:00+00:00,3.84,4.61,82.57
2023-01-03 05:00:00+00:00,11.5,4.08,85.57
2023-01-03 06:00:00+00:00,19.9,3.7,89.15
2023-01-03 07:00:00+00:00,32.38,3.59,90.1
2023-01-03 08:00:00+00:00,47.17,3.97,91.93
2023-01-03 09:00:00+00:00,46.52,4.69,91.93
2023-01-03 10:00:00+00:00,43.83,5.72,92.28
2023-01-03 11:00:00+00:00,49.67,6.81,91.7
2023-01-03 12:00:00+00:00,47.21,7.71,90.71
2023-01-03 13:00:00+00:00,31.92,8.6,88.03
2023-01-03 14:00:00+00:00,20.63,9.24,85.2
2023-01-03 15:00:00+00:00,14.48,9.25,84.22
2023-01-03 16:00:00+00:00,16.12,8.87,85.84
2023-01-03 17:00:00+00:00,14.08,8.84,85.93
2023-01-03 18:00:00+00:00,11.94,8.94,86.2
2023-01-03 19:00:00+00:00,10.43,9.11,85.64
2023-01-03 20:00:00+00:00,8.93,9.41,84.59
2023-01-03 21:00:00+00:00,7.92,9.77,82.95
2023-01-03 22:00:00+00:00,6.85,9.93,82.99
2023-01-04 00:00:00+00:00,6.6,9.89,88.84
2023-01-04 01:00:00+00:00,3.87,9.93,90.83
2023-01-04 03:00:00+00:00,6.61,10.98,90.57
2023-01-04 04:00:00+00:00,6.95,11.17,90.75
2023-01-04 05:00:00+00:00,8.37,11.24,91.07
2023-01-04 07:00:00+00:00,9.04,11.31,91.23
2023-01-04 08:00:00+00:00,13.53,10.93,92.13
2023-01-04 09:00:00+00:00,13.0,10.89,93.33
2023-01-04 10:00:00+00:00,20.21,11.17,92.87
2023-01-04 11:00:00+00:00,14.29,11.51,91.91
2023-01-04 12:00:00+00:00,11.71,11.47,91.93
2023-01-04 13:00:00+00:00,14.02,11.49,91.11
2023-01-04 14:00:00+00:00,13.16,11.56,90.21
2023-01-04 15:00:00+00:00,12.5,11.48,89.58
2023-01-04 16:00:00+00:00,15.42,11.3,89.03
2023-01-04 17:00:00+00:00,17.31,11.1,88.75
2023-01-04 18:00:00+00:00,18.72,11.03,87.78
2023-01-04 19:00:00+00:00,21.35,11.04,88.35
2023-01-04 20:00:00+00:00,18.77,11.08,86.36
2023-01-04 21:00:00+00:00,19.37,11.23,85.29
2023-01-04 22:00:00+00:00,18.07,11.06,84.74
2023-01-04 23:00:00+00:00,18.05,11.06,84.31
2023-01-05 00:00:00+00:00,18.13,10.77,84.41
2023-01-05 01:00:00+00:00,15.97,10.57,84.23
2023-01-05 02:00:00+00:00,15.79,10.6,84.72
2023-01-05 03:00:00+00:00,15.97,10.75,84.55
2023-01-05 04:00:00+00:00,15.36,10.73,84.97
2023-01-05 05:00:00+00:00,15.27,10.79,84.99
2023-01-05 06:00:00+00:00,14.75,10.73,85.81
2023-01-05 07:00:00+00:00,14.05,10.66,85.63
2023-01-05 08:00:00+00:00,13.23,10.62,85.6
2023-01-05 09:00:00+00:00,14.23,10.59,86.13
2023-01-05 10:00:00+00:00,13.06,10.81,85.14
2023-01-05 11:00:00+00:00,12.01,11.11,83.77
2023-01-05 12:00:00+00:00,13.4,11.53,82.56
2023-01-05 13:00:00+00:00,15.19,12.04,81.04
2023-01-05 14:00:00+00:00,17.29,11.43,84.36
2023-01-05 15:00:00+00:00,16.03,11.0,85.6
2023-01-05 16:00:00+00:00,13.32,10.53,88.77
2023-01-05 17:00:00+00:00,8.51,10.74,91.06
2023-01-05 18:00:00+00:00,5.49,11.38,91.18
2023-01-05 19:00:00+00:00,5.46,11.4,90.15
2023-01-05 20:00:00+00:00,7.44,11.17,89.91
2023-01-05 21:00:00+00:00,10.71,10.96,90.31
2023-01-05 22:00:00+00:00,11.09,10.78,90.73
2023-01-05 23:00:00+00:00,7.87,10.85,89.73
2023-01-06 00:00:00+00:00,6.48,10.84,88.43
2023-01-06 01:00:00+00:00,4.84,10.99,86.68
2023-01-06 02:00:00+00:00,3.7,11.24,84.75
2023-01-06 03:00:00+00:00,2.67,11.61,82.15
2023-01-06 04:00:00+00:00,2.36,11.7,80.22
2023-01-06 05:00:00+00:00,2.94,11.73,81.22
2023-01-06 06:00:00+00:00,3.86,11.14,86.93
2023-01-06 07:00:00+00:00,7.46,10.65,89.2
2023-01-06 08:00:00+00:00,8.46,10.14,86.31
2023-01-06 09:00:00+00:00,5.38,9.69,83.32
2023-01-06 10:00:00+00:00,4.89,9.89,83.73
2023-01-06 11:00:00+00:00,5.17,10.63,80.26
2023-01-06 12:00:00+00:00,5.51,10.92,79.68
2023-01-06 13:00:00+00:00,5.49,10.8,80.98
2023-01-06 14:00:00+00:00,4.98,10.57,81.37
2023-01-06 15:00:00+00:00,4.08,10.32,81.03
2023-01-06 16:00:00+00:00,4.24,10.02,83.53
2023-01-06 17:00:00+00:00,4.53,9.72,84.38
2023-01-06 18:00:00+00:00,4.28,9.65,83.91
2023-01-06 19:00:00+00:00,3.95,9.85,83.91
2023-01-06 20:00:00+00:00,13.67,10.15,88.51
2023-01-06 21:00:00+00:00,20.87,10.79,90.63
2023-01-06 22:00:00+00:00,14.61,11.26,91.6
2023-01-06 23:00:00+00:00,13.22,11.36,91.74
2023-01-07 00:00:00+00:00,10.93,11.64,90.25
2023-01-07 01:00:00+00:00,6.44,12.17,86.72
2023-01-07 02:00:00+00:00,6.81,12.18,85.18
2023-01-07 03:00:00+00:00,6.41,11.87,84.91
2023-01-07 04:00:00+00:00,10.95,11.38,86.03
2023-01-07 05:00:00+00:00,10.39,11.25,86.08
2023-01-07 06:00:00+00:00,12.37,10.97,86.37
2023-01-07 07:00:00+00:00,16.54,10.67,87.21
2023-01-07 08:00:00+00:00,14.11,10.35,87.14
2023-01-07 09:00:00+00:00,7.07,10.6,84.51
2023-01-07 10:00:00+00:00,3.72,11.24,79.18
2023-01-07 11:00:00+00:00,3.01,11.71,75.13
2023-01-07 12:00:00+00:00,2.31,12.32,69.37
2023-01-07 13:00:00+00:00,2.63,12.28,69.4
2023-01-07 14:00:00+00:00,3.12,12.3,68.9
2023-01-07 15:00:00+00:00,4.1,12.08,70.3
2023-01-07 16:00:00+00:00,4.18,11.58,75.76
2023-01-07 17:00:00+00:00,4.64,11.1,77.05
2023-01-07 18:00:00+00:00,5.2,10.69,80.44
2023-01-07 19:00:00+00:00,7.07,10.28,83.56
2023-01-07 20:00:00+00:00,7.6,10.6,81.38
2023-01-07 21:00:00+00:00,8.93,10.74,83.44
2023-01-07 22:00:00+00:00,7.89,10.88,82.26
2023-01-07 23:00:00+00:00,5.8,11.2,78.72
2023-01-08 00:00:00+00:00,4.61,10.84,73.05
2023-01-08 01:00:00+00:00,5.96,10.2,77.64
2023-01-08 03:00:00+00:00,3.88,9.53,80.3
