pm25,temperature,datetime,humidity
0.1,29.15,2023-01-07 08:00:00+00:00,28.63
0.09,29.26,2023-01-07 09:00:00+00:00,27.88
0.1,29.4,2023-01-07 10:00:00+00:00,27.0
0.08,29.47,2023-01-07 11:00:00+00:00,26.17
0.07,29.6,2023-01-07 12:00:00+00:00,25.66
0.06,29.6,2023-01-07 13:00:00+00:00,25.0
0.07,29.6,2023-01-07 14:00:00+00:00,25.0
0.08,29.5,2023-01-07 15:00:00+00:00,25.0
0.09,29.38,2023-01-07 16:00:00+00:00,25.0
0.12,29.29,2023-01-07 17:00:00+00:00,25.0
0.14,29.2,2023-01-07 18:00:00+00:00,25.0
0.15,29.2,2023-01-07 19:00:00+00:00,25.92
0.16,29.11,2023-01-07 20:00:00+00:00,26.0
0.17,29.15,2023-01-07 21:00:00+00:00,26.0
0.17,29.23,2023-01-07 22:00:00+00:00,26.0
0.16,29.21,2023-01-07 23:00:00+00:00,26.29
0.15,29.2,2023-01-08 00:00:00+00:00,27.0
0.1,29.04,2023-01-08 01:00:00+00:00,27.0
0.07,29.1,2023-01-08 03:00:00+00:00,26.0
0.07,29.1,2023-01-08 04:00:00+00:00,26.0
0.08,29.11,2023-01-08 05:00:00+00:00,26.0
0.07,29.07,2023-01-08 06:00:00+00:00,26.0
0.06,28.83,2023-01-08 07:00:00+00:00,26.0
0.06,28.64,2023-01-08 08:00:00+00:00,25.9
0.06,28.6,2023-01-08 09:00:00+00:00,25.0
0.06,28.68,2023-01-08 10:00:00+00:00,24.76
0.07,28.9,2023-01-08 11:00:00+00:00,24.0
0.06,29.19,2023-01-08 12:00:00+00:00,24.0
0.08,29.46,2023-01-08 13:00:00+00:00,24.0
0.08,29.46,2023-01-08 14:00:00+00:00,24.0
0.07,29.3,2023-01-08 15:00:00+00:00,24.0
0.06,29.04,2023-01-08 16:00:00+00:00,23.6
0.08,28.78,2023-01-08 17:00:00+00:00,23.73
0.08,28.71,2023-01-08 18:00:00+00:00,23.31
0.08,28.8,2023-01-08 19:00:00+00:00,23.0
0.08,28.65,2023-01-08 20:00:00+00:00,23.92
0.08,28.6,2023-01-08 21:00:00+00:00,24.0
0.09,28.57,2023-01-08 22:00:00+00:00,24.0
0.1,28.55,2023-01-08 23:00:00+00:00,24.0
0.07,28.68,2023-01-09 00:00:00+00:00,24.0
0.07,28.57,2023-01-09 01:00:00+00:00,24.0
0.07,28.45,2023-01-09 02:00:00+00:00,24.0
0.06,28.38,2023-01-09 03:00:00+00:00,24.0
0.06,28.35,2023-01-09 04:00:00+00:00,24.0
0.07,28.21,2023-01-09 05:00:00+00:00,24.0
0.06,28.1,2023-01-09 06:00:00+00:00,24.0
0.07,28.1,2023-01-09 07:00:00+00:00,24.0
0.08,28.1,2023-01-09 08:00:00+00:00,24.14
0.06,28.16,2023-01-09 09:00:00+00:00,25.17
0.08,28.53,2023-01-09 10:00:00+00:00,25.61
0.07,28.92,2023-01-09 11:00:00+00:00,24.88
1.34,29.32,2023-01-09 12:00:00+00:00,24.51
0.67,29.74,2023-01-09 13:00:00+00:00,24.0
0.68,29.78,2023-01-09 14:00:00+00:00,24.02
0.26,29.76,2023-01-09 15:00:00+00:00,23.29
0.22,29.45,2023-01-09 16:00:00+00:00,23.09
0.12,28.98,2023-01-09 17:00:00+00:00,23.38
0.1,28.71,2023-01-09 18:00:00+00:00,24.0
0.1,28.55,2023-01-09 19:00:00+00:00,24.0
0.09,28.6,2023-01-09 20:00:00+00:00,24.0
0.11,28.55,2023-01-09 21:00:00+00:00,23.15
0.08,28.5,2023-01-09 22:00:00+00:00,23.0
0.09,28.55,2023-01-09 23:00:00+00:00,22.71
0.08,28.59,2023-01-10 00:00:00+00:00,22.0
0.08,28.5,2023-01-10 01:00:00+00:00,22.0
0.08,28.58,2023-01-10 02:00:00+00:00,22.0
0.08,28.6,2023-01-10 03:00:00+00:00,22.45
0.07,28.56,2023-01-10 04:00:00+00:00,23.0
0.08,28.54,2023-01-10 05:00:00+00:00,23.0
0.08,28.46,2023-01-10 06:00:00+00:00,23.0
0.08,28.2,2023-01-10 07:00:00+00:00,23.0
0.1,28.14,2023-01-10 08:00:00+00:00,23.0
0.11,28.08,2023-01-10 09:00:00+00:00,23.0
0.13,27.94,2023-01-10 10:00:00+00:00,23.0
0.11,28.34,2023-01-10 11:00:00+00:00,22.41
0.11,28.44,2023-01-10 12:00:00+00:00,22.0
0.12,28.31,2023-01-10 13:00:00+00:00,23.12
0.13,28.21,2023-01-10 14:00:00+00:00,23.19
0.11,28.2,2023-01-10 15:00:00+00:00,23.0
0.06,28.06,2023-01-10 16:00:00+00:00,23.0
0.1,28.0,2023-01-10 17:00:00+00:00,23.31
0.14,27.8,2023-01-10 19:00:00+00:00,24.09
0.14,27.75,2023-01-10 21:00:00+00:00,25.0
0.06,27.66,2023-01-10 22:00:00+00:00,26.0
0.16,27.45,2023-01-10 23:00:00+00:00,26.66
0.05,27.29,2023-01-11 00:00:00+00:00,28.0
0.03,27.2,2023-01-11 01:00:00+00:00,29.0
0.11,27.1,2023-01-11 02:00:00+00:00,29.94
2.12,18.69,2023-05-02 14:00:00+00:00,30.65
1.74,18.82,2023-05-02 15:00:00+00:00,31.34
1.55,18.6,2023-05-02 16:00:00+00:00,33.32
1.26,17.46,2023-05-02 17:00:00+00:00,35.74
1.07,15.99,2023-05-02 18:00:00+00:00,37.53
1.36,14.74,2023-05-02 19:00:00+00:00,41.33
2.22,13.1,2023-05-02 20:00:00+00:00,44.91
3.31,11.28,2023-05-02 21:00:00+00:00,50.82
7.25,10.37,2023-05-02 22:00:00+00:00,54.95
6.53,9.2,2023-05-02 23:00:00+00:00,59.1
6.03,8.61,2023-05-03 00:00:00+00:00,60.79
5.35,7.96,2023-05-03 01:00:00+00:00,62.43
4.61,7.97,2023-05-03 02:00:00+00:00,62.08
4.73,7.38,2023-05-03 03:00:00+00:00,63.16
4.96,6.94,2023-05-03 04:00:00+00:00,64.03
5.12,7.62,2023-05-03 05:00:00+00:00,64.1
5.3,10.19,2023-05-03 06:00:00+00:00,59.48
2.87,12.49,2023-05-03 07:00:00+00:00,49.36
2.09,14.23,2023-05-03 08:00:00+00:00,42.38
