datetime,pm25,temperature,humidity
2023-06-01 00:00:00+00:00,10.96,12.11,79.2
2023-06-01 01:00:00+00:00,11.64,11.9,79.14
2023-06-01 03:00:00+00:00,12.17,11.65,80.33
2023-06-01 04:00:00+00:00,16.45,11.37,80.18
2023-06-01 05:00:00+00:00,12.07,11.47,79.74
2023-06-01 06:00:00+00:00,10.62,12.26,76.47
2023-06-01 07:00:00+00:00,8.85,13.32,70.94
2023-06-01 08:00:00+00:00,6.07,14.43,66.03
2023-06-01 09:00:00+00:00,5.5,15.88,59.49
2023-06-01 10:00:00+00:00,5.4,19.05,50.13
2023-06-01 11:00:00+00:00,4.06,19.74,48.81
2023-06-01 12:00:00+00:00,2.29,16.61,62.79
2023-06-01 13:00:00+00:00,2.69,15.73,65.98
2023-06-01 14:00:00+00:00,3.18,16.28,61.09
2023-06-01 15:00:00+00:00,2.9,16.53,59.67
2023-06-01 16:00:00+00:00,4.16,15.62,60.6
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 17:00:00+00:00,4.74,14.47,63.65
2023-06-01 18:00:00+00:00,3.42,13.53,66.01
2023-06-01 19:00:00+00:00,3.35,12.7,69.79
2023-06-01 20:00:00+00:00,4.21,12.08,68.52
2023-06-01 21:00:00+00:00,5.29,11.6,68.1
2023-06-01 22:00:00+00:00,5.4,11.33,66.72
2023-06-01 23:00:00+00:00,5.85,11.3,67.31
2023-06-02 00:00:00+00:00,5.99,10.96,66.95
2023-06-02 01:00:00+00:00,4.79,10.7,68.47
2023-06-02 02:00:00+00:00,4.76,10.57,68.67
2023-06-02 03:00:00+00:00,4.51,10.51,67.41
2023-06-02 04:00:00+00:00,4.56,10.53,67.52
2023-06-02 05:00:00+00:00,4.75,10.76,67.41
2023-06-02 06:00:00+00:00,4.9,11.59,65.32
2023-06-02 07:00:00+00:00,5.08,12.98,61.72
2023-06-02 08:00:00+00:00,4.95,14.02,61.68
2023-06-02 09:00:00+00:00,4.42,14.66,61.75
2023-06-02 10:00:00+00:00,5.14,15.11,61.82
2023-06-02 11:00:00+00:00,6.09,16.42,61.14
2023-06-02 12:00:00+00:00,6.93,17.02,60.14
2023-06-02 13:00:00+00:00,7.25,19.68,52.95
2023-06-02 14:00:00+00:00,5.78,21.28,48.89
2023-06-02 15:00:00+00:00,6.38,20.63,52.82
2023-06-02 16:00:00+00:00,2.76,21.76,39.94
2023-06-02 17:00:00+00:00,3.21,20.6,46.45
2023-06-02 18:00:00+00:00,4.53,18.74,58.34
2023-06-02 19:00:00+00:00,6.27,17.23,66.04
2023-06-02 20:00:00+00:00,6.79,15.45,72.59
2023-06-02 21:00:00+00:00,8.69,13.91,78.64
2023-06-02 22:00:00+00:00,8.26,13.17,81.83
2023-06-02 23:00:00+00:00,9.32,12.78,81.54
2023-06-03 00:00:00+00:00,8.93,12.45,81.36
2023-06-03 01:00:00+00:00,8.45,12.14,82.05
2023-06-03 02:00:00+00:00,8.98,11.56,82.99
2023-06-03 03:00:00+00:00,9.39,10.35,83.69
2023-06-03 04:00:00+00:00,9.54,9.66,85.08
2023-06-03 05:00:00+00:00,5.52,13.56,70.73
