datetime,pm25,temperature,humidity
2023-06-01 00:00:00+00:00,6.27,15.15,62.97
2023-06-01 01:00:00+00:00,6.84,14.95,63.02
2023-06-01 03:00:00+00:00,7.1,14.63,64.05
2023-06-01 04:00:00+00:00,9.5,14.4,63.91
2023-06-01 05:00:00+00:00,7.26,14.49,63.31
2023-06-01 06:00:00+00:00,6.69,15.14,61.22
2023-06-01 07:00:00+00:00,5.71,16.24,57.0
2023-06-01 08:00:00+00:00,4.65,17.29,53.37
2023-06-01 09:00:00+00:00,4.01,18.87,48.34
2023-06-01 10:00:00+00:00,4.07,22.24,40.76
2023-06-01 11:00:00+00:00,3.08,23.47,39.36
2023-06-01 12:00:00+00:00,1.61,20.05,50.45
2023-06-01 13:00:00+00:00,1.91,18.91,53.33
2023-06-01 14:00:00+00:00,2.43,19.11,50.03
2023-06-01 15:00:00+00:00,2.17,19.54,48.93
2023-06-01 16:00:00+00:00,3.19,18.66,49.25
2023-06-01 17:00:00+00:00,3.23,17.75,51.14
2023-06-01 18:00:00+00:00,2.38,16.78,52.74
2023-06-01 19:00:00+00:00,2.2,15.98,55.45
2023-06-01 20:00:00+00:00,2.73,15.35,54.26
2023-06-01 21:00:00+00:00,3.52,14.85,53.93
2023-06-01 22:00:00+00:00,3.84,14.55,52.98
2023-06-01 23:00:00+00:00,3.86,14.53,53.29
2023-06-02 00:00:00+00:00,4.04,14.17,53.03
2023-06-02 01:00:00+00:00,3.25,13.96,54.08
2023-06-02 02:00:00+00:00,3.17,13.83,54.21
2023-06-02 03:00:00+00:00,3.08,13.8,53.07
2023-06-02 04:00:00+00:00,3.22,13.8,53.09
2023-06-02 05:00:00+00:00,3.37,14.0,53.34
2023-06-02 06:00:00+00:00,3.54,14.75,51.86
2023-06-02 07:00:00+00:00,3.63,15.99,49.64
2023-06-02 08:00:00+00:00,3.76,16.97,50.35
2023-06-02 09:00:00+00:00,3.62,17.48,50.31
2023-06-02 10:00:00+00:00,4.13,17.89,50.78
2023-06-02 11:00:00+00:00,5.06,18.92,50.78
2023-06-02 12:00:00+00:00,5.38,19.58,50.2
2023-06-02 13:00:00+00:00,5.96,21.22,46.64
2023-06-02 14:00:00+00:00,4.73,22.95,43.64
2023-06-02 15:00:00+00:00,5.11,22.85,46.04
2023-06-02 16:00:00+00:00,2.35,22.79,37.66
2023-06-02 17:00:00+00:00,2.6,22.09,42.07
2023-06-02 18:00:00+00:00,3.57,21.15,49.55
2023-06-02 19:00:00+00:00,4.67,19.9,54.9
2023-06-02 20:00:00+00:00,4.75,18.46,58.98
2023-06-02 21:00:00+00:00,5.46,17.09,63.05
2023-06-02 22:00:00+00:00,4.88,16.27,65.42
2023-06-02 23:00:00+00:00,5.48,15.86,65.0
2023-06-03 00:00:00+00:00,5.34,15.52,65.0
2023-06-03 01:00:00+00:00,5.1,15.32,65.0
2023-06-03 02:00:00+00:00,5.21,15.08,65.0
2023-06-03 03:00:00+00:00,4.97,14.43,65.0
2023-06-03 04:00:00+00:00,4.69,13.87,64.58
2023-06-03 05:00:00+00:00,3.41,16.41,55.02
2023-06-03 06:00:00+00:00,2.36,22.83,38.36
2023-06-03 07:00:00+00:00,2.05,26.97,30.43
2023-06-03 08:00:00+00:00,1.64,30.02,24.4
2023-06-03 09:00:00+00:00,1.87,30.96,23.79
2023-06-03 10:00:00+00:00,2.11,30.44,23.33
2023-06-03 11:00:00+00:00,1.37,29.51,19.31
2023-06-03 12:00:00+00:00,1.74,28.3,21.15
2023-06-03 13:00:00+00:00,25.81,26.01,23.78
2023-06-03 14:00:00+00:00,1.25,25.17,24.1
2023-06-03 15:00:00+00:00,1.25,25.25,23.71
2023-06-03 16:00:00+00:00,1.42,25.18,25.52
2023-06-03 17:00:00+00:00,1.58,24.58,27.95
2023-06-03 18:00:00+00:00,1.62,23.4,33.04
2023-06-03 19:00:00+00:00,1.53,21.67,36.55
2023-06-03 20:00:00+00:00,1.55,20.21,40.24
2023-06-03 21:00:00+00:00,2.49,18.69,44.47
2023-06-03 22:00:00+00:00,3.75,17.52,47.27
2023-06-03 23:00:00+00:00,2.23,16.66,51.59
2023-06-04 00:00:00+00:00,2.95,15.91,55.76
2023-06-04 01:00:00+00:00,3.44,15.39,58.17
2023-06-04 02:00:00+00:00,4.27,14.98,60.66
2023-06-04 03:00:00+00:00,5.55,14.55,63.42
2023-06-04 04:00:00+00:00,5.83,14.46,65.75
2023-06-04 05:00:00+00:00,5.05,16.02,62.44
2023-06-04 06:00:00+00:00,3.96,20.45,51.39
2023-06-04 07:00:00+00:00,3.16,24.11,42.1
2023-06-04 08:00:00+00:00,2.66,26.84,34.97
2023-06-04 09:00:00+00:00,2.05,28.44,29.31
2023-06-04 10:00:00+00:00,1.86,29.67,26.0
2023-06-04 11:00:00+00:00,1.65,30.17,23.17
2023-06-04 12:00:00+00:00,1.73,28.53,25.51
2023-06-04 13:00:00+00:00,1.73,26.73,28.1
2023-06-04 14:00:00+00:00,1.87,25.55,30.41
2023-06-04 15:00:00+00:00,2.21,24.92,35.33
2023-06-04 16:00:00+00:00,2.38,23.99,39.42
2023-06-04 17:00:00+00:00,2.7,22.48,43.4
2023-06-04 18:00:00+00:00,2.55,21.01,44.9
2023-06-04 19:00:00+00:00,2.85,19.24,48.88
2023-06-04 20:00:00+00:00,3.43,17.11,54.95
2023-06-04 21:00:00+00:00,4.07,15.62,60.0
2023-06-04 22:00:00+00:00,5.0,14.94,62.98
2023-06-04 23:00:00+00:00,5.87,14.5,64.28
2023-06-05 00:00:00+00:00,6.63,14.06,65.59
2023-06-05 01:00:00+00:00,7.71,13.78,66.36
2023-06-05 03:00:00+00:00,7.01,13.45,66.98
2023-06-05 04:00:00+00:00,6.95,13.74,65.78
2023-06-05 05:00:00+00:00,5.82,14.75,62.85
2023-06-05 06:00:00+00:00,4.4,16.66,56.69
2023-06-05 07:00:00+00:00,4.06,17.97,52.67
2023-06-05 08:00:00+00:00,3.9,20.04,46.98
2023-06-05 09:00:00+00:00,4.04,26.19,34.28
2023-06-05 10:00:00+00:00,4.46,27.8,31.14
2023-06-05 11:00:00+00:00,4.78,28.23,30.59
2023-06-05 12:00:00+00:00,5.39,27.34,32.42
2023-06-05 13:00:00+00:00,4.8,25.1,37.59
2023-06-05 14:00:00+00:00,4.08,23.05,42.34
2023-06-05 15:00:00+00:00,3.95,22.39,42.91
2023-06-05 16:00:00+00:00,4.38,21.53,44.69
2023-06-05 17:00:00+00:00,5.11,21.06,44.91
2023-06-05 18:00:00+00:00,5.38,20.08,47.58
2023-06-05 19:00:00+00:00,5.14,18.78,50.41
2023-06-05 20:00:00+00:00,5.11,17.12,55.54
2023-06-05 21:00:00+00:00,5.91,15.79,59.88
