pm25,temperature,datetime,humidity
8.45,19.03,2023-06-06 07:00:00+00:00,51.57
7.05,20.13,2023-06-06 08:00:00+00:00,49.3
5.91,22.44,2023-06-06 09:00:00+00:00,44.02
5.54,24.38,2023-06-06 10:00:00+00:00,40.27
6.07,25.95,2023-06-06 11:00:00+00:00,37.58
6.59,26.55,2023-06-06 12:00:00+00:00,36.66
6.9,25.89,2023-06-06 13:00:00+00:00,38.37
7.48,23.72,2023-06-06 14:00:00+00:00,42.98
7.59,22.94,2023-06-06 15:00:00+00:00,44.69
6.59,22.33,2023-06-06 16:00:00+00:00,45.83
6.55,21.27,2023-06-06 17:00:00+00:00,47.64
6.63,20.51,2023-06-06 18:00:00+00:00,49.23
6.98,17.71,2023-06-07 20:00:00+00:00,57.59
8.02,16.36,2023-06-07 21:00:00+00:00,62.05
8.67,15.67,2023-06-07 22:00:00+00:00,64.53
9.67,15.17,2023-06-07 23:00:00+00:00,65.36
10.21,14.65,2023-06-08 00:00:00+00:00,66.52
10.81,14.27,2023-06-08 01:00:00+00:00,67.07
11.09,13.98,2023-06-08 02:00:00+00:00,68.0
13.94,14.03,2023-06-08 03:00:00+00:00,68.36
14.67,14.24,2023-06-08 04:00:00+00:00,68.0
13.93,14.63,2023-06-08 05:00:00+00:00,66.55
12.78,15.73,2023-06-08 06:00:00+00:00,63.16
11.25,17.49,2023-06-08 07:00:00+00:00,58.12
9.74,19.3,2023-06-08 08:00:00+00:00,53.34
8.52,22.46,2023-06-08 09:00:00+00:00,45.92
6.24,25.09,2023-06-08 10:00:00+00:00,39.95
6.4,26.23,2023-06-08 11:00:00+00:00,37.42
5.49,27.64,2023-06-08 12:00:00+00:00,35.22
5.65,27.6,2023-06-08 13:00:00+00:00,35.48
6.21,26.19,2023-06-08 14:00:00+00:00,40.17
4.6,19.7,2023-06-08 20:00:00+00:00,53.86
4.5,18.8,2023-06-08 21:00:00+00:00,56.17
4.86,17.65,2023-06-08 22:00:00+00:00,61.1
5.09,16.74,2023-06-08 23:00:00+00:00,64.24
5.25,16.27,2023-06-09 00:00:00+00:00,65.05
6.03,15.88,2023-06-09 01:00:00+00:00,66.0
6.72,15.59,2023-06-09 03:00:00+00:00,67.41
7.26,15.59,2023-06-09 04:00:00+00:00,67.37
7.2,16.16,2023-06-09 05:00:00+00:00,65.16
6.6,18.12,2023-06-09 06:00:00+00:00,59.76
8.27,20.44,2023-06-09 07:00:00+00:00,55.4
8.01,22.51,2023-06-09 08:00:00+00:00,51.32
9.26,24.56,2023-06-09 09:00:00+00:00,47.22
10.41,28.27,2023-06-09 10:00:00+00:00,39.84
11.59,30.51,2023-06-09 11:00:00+00:00,35.93
11.95,32.3,2023-06-09 12:00:00+00:00,33.64
11.16,32.63,2023-06-09 13:00:00+00:00,33.23
10.26,31.04,2023-06-09 14:00:00+00:00,34.43
9.82,31.36,2023-06-09 15:00:00+00:00,32.33
9.82,31.47,2023-06-09 16:00:00+00:00,30.78
8.82,30.88,2023-06-09 17:00:00+00:00,38.09
8.02,29.32,2023-06-09 18:00:00+00:00,42.2
7.54,27.88,2023-06-09 19:00:00+00:00,44.88
7.54,26.59,2023-06-09 20:00:00+00:00,46.76
7.49,25.58,2023-06-09 21:00:00+00:00,47.21
7.69,24.58,2023-06-09 22:00:00+00:00,49.34
7.0,23.69,2023-06-09 23:00:00+00:00,50.52
6.41,22.96,2023-06-10 00:00:00+00:00,51.95
6.13,22.3,2023-06-10 01:00:00+00:00,52.84
6.1,21.57,2023-06-10 02:00:00+00:00,54.0
6.53,21.14,2023-06-10 03:00:00+00:00,54.02
6.77,20.85,2023-06-10 04:00:00+00:00,54.86
7.0,21.35,2023-06-10 05:00:00+00:00,53.6
6.99,23.68,2023-06-10 06:00:00+00:00,47.79
7.06,25.6,2023-06-10 07:00:00+00:00,42.58
7.1,27.46,2023-06-10 08:00:00+00:00,39.38
7.23,29.03,2023-06-10 09:00:00+00:00,37.47
6.95,30.91,2023-06-10 10:00:00+00:00,34.03
6.34,32.41,2023-06-10 11:00:00+00:00,30.68
5.65,33.3,2023-06-10 12:00:00+00:00,28.98
5.25,33.59,2023-06-10 13:00:00+00:00,27.15
5.29,32.35,2023-06-10 14:00:00+00:00,28.14
5.17,31.66,2023-06-10 15:00:00+00:00,26.67
4.59,31.42,2023-06-10 16:00:00+00:00,22.95
4.43,31.17,2023-06-10 17:00:00+00:00,23.92
4.43,30.29,2023-06-10 18:00:00+00:00,28.61
5.92,28.72,2023-06-10 19:00:00+00:00,41.51
6.96,26.67,2023-06-10 20:00:00+00:00,50.37
7.38,24.86,2023-06-10 21:00:00+00:00,56.41
8.69,23.56,2023-06-10 22:00:00+00:00,59.81
7.28,23.2,2023-06-10 23:00:00+00:00,60.0
8.94,26.13,2023-06-12 00:00:00+00:00,36.8
8.22,25.14,2023-06-12 01:00:00+00:00,37.27
7.99,24.44,2023-06-12 02:00:00+00:00,38.63
8.07,23.74,2023-06-12 03:00:00+00:00,40.69
9.16,22.99,2023-06-12 04:00:00+00:00,43.78
8.78,23.38,2023-06-12 05:00:00+00:00,45.05
9.33,25.97,2023-06-12 06:00:00+00:00,39.72
8.78,28.88,2023-06-12 07:00:00+00:00,34.97
8.45,31.09,2023-06-12 08:00:00+00:00,30.88
8.07,33.31,2023-06-12 09:00:00+00:00,26.87
7.91,35.6,2023-06-12 10:00:00+00:00,25.38
7.22,36.83,2023-06-12 11:00:00+00:00,20.53
6.56,37.12,2023-06-12 12:00:00+00:00,17.17
6.39,35.76,2023-06-12 13:00:00+00:00,17.51
6.15,34.41,2023-06-12 14:00:00+00:00,18.86
6.08,33.25,2023-06-12 15:00:00+00:00,22.17
6.36,32.94,2023-06-12 16:00:00+00:00,22.38
5.98,31.86,2023-06-12 17:00:00+00:00,26.84
5.65,29.59,2023-06-12 18:00:00+00:00,31.41
7.47,28.79,2023-06-12 19:00:00+00:00,35.47
10.38,27.72,2023-06-12 20:00:00+00:00,40.9
12.67,26.17,2023-06-12 21:00:00+00:00,48.98
12.07,25.34,2023-06-12 22:00:00+00:00,47.33
8.94,25.2,2023-06-12 23:00:00+00:00,37.83
6.8,24.61,2023-06-13 00:00:00+00:00,35.02
6.23,24.06,2023-06-13 01:00:00+00:00,34.64
6.51,23.73,2023-06-13 02:00:00+00:00,34.98
7.28,22.65,2023-06-13 03:00:00+00:00,43.25
8.46,21.56,2023-06-13 04:00:00+00:00,49.9
8.36,22.03,2023-06-13 05:00:00+00:00,48.73
7.97,24.92,2023-06-13 06:00:00+00:00,40.41
7.79,27.57,2023-06-13 07:00:00+00:00,33.34
7.22,29.89,2023-06-13 08:00:00+00:00,28.52
7.95,30.75,2023-06-13 09:00:00+00:00,29.86
