datetime,pm25,temperature,humidity
2023-01-01 00:00:00+00:00,122.08,15.57,66.45
2023-01-01 01:00:00+00:00,58.06,16.14,64.65
2023-01-01 03:00:00+00:00,6.7,14.73,68.7
2023-01-01 04:00:00+00:00,5.99,14.24,71.97
2023-01-01 05:00:00+00:00,5.35,13.17,71.65
2023-01-01 06:00:00+00:00,7.96,12.68,73.46
2023-01-01 07:00:00+00:00,10.04,12.36,75.49
2023-01-01 08:00:00+00:00,10.25,12.12,75.88
2023-01-01 09:00:00+00:00,10.65,12.03,74.7
2023-01-01 10:00:00+00:00,8.15,12.24,72.72
2023-01-01 11:00:00+00:00,6.97,12.76,70.98
2023-01-01 12:00:00+00:00,6.51,13.36,70.09
2023-01-01 13:00:00+00:00,7.22,13.4,69.36
2023-01-01 14:00:00+00:00,8.22,13.08,69.47
2023-01-01 15:00:00+00:00,7.69,13.13,69.43
2023-01-01 16:00:00+00:00,6.49,12.74,74.03
2023-01-01 17:00:00+00:00,6.64,12.41,76.47
2023-01-01 18:00:00+00:00,8.22,12.4,76.75
2023-01-01 19:00:00+00:00,7.35,12.25,76.65
2023-01-01 20:00:00+00:00,7.3,11.67,81.61
2023-01-01 21:00:00+00:00,11.48,11.35,87.62
2023-01-01 22:00:00+00:00,10.48,11.33,88.57
2023-01-01 23:00:00+00:00,14.09,11.34,88.79
2023-01-02 00:00:00+00:00,14.5,11.31,89.4
2023-01-02 01:00:00+00:00,20.88,11.46,89.09
2023-01-02 02:00:00+00:00,21.1,11.61,89.76
2023-01-02 03:00:00+00:00,23.87,11.74,90.24
2023-01-02 04:00:00+00:00,23.29,11.76,90.46
2023-01-02 05:00:00+00:00,10.2,11.73,89.28
2023-01-02 06:00:00+00:00,4.13,11.0,86.23
2023-01-02 07:00:00+00:00,1.76,10.21,86.03
2023-01-02 08:00:00+00:00,2.53,10.0,86.51
2023-01-02 09:00:00+00:00,2.13,9.76,85.76
2023-01-02 10:00:00+00:00,3.03,9.65,83.84
2023-01-02 11:00:00+00:00,3.63,9.96,84.15
2023-01-02 12:00:00+00:00,3.99,10.37,82.82
2023-01-02 13:00:00+00:00,3.87,10.73,81.7
2023-01-02 14:00:00+00:00,4.63,10.49,82.56
2023-01-02 15:00:00+00:00,3.4,9.98,79.92
2023-01-02 16:00:00+00:00,3.6,9.45,78.81
2023-01-02 17:00:00+00:00,7.42,8.51,80.79
2023-01-02 18:00:00+00:00,7.31,7.76,80.61
2023-01-02 19:00:00+00:00,6.84,7.48,81.31
2023-01-02 20:00:00+00:00,8.05,7.15,80.08
2023-01-02 21:00:00+00:00,6.86,6.83,79.62
2023-01-02 22:00:00+00:00,10.4,6.31,79.83
2023-01-02 23:00:00+00:00,4.46,5.52,79.14
2023-01-03 00:00:00+00:00,5.2,5.38,78.64
2023-01-03 01:00:00+00:00,5.16,5.36,78.56
2023-01-03 02:00:00+00:00,6.63,4.98,79.88
2023-01-03 03:00:00+00:00,5.22,4.9,80.12
2023-01-03 04:00:00+00:00,8.51,4.57,81.81
2023-01-03 05:00:00+00:00,15.42,4.05,85.26
2023-01-03 06:00:00+00:00,32.29,3.97,88.57
2023-01-03 07:00:00+00:00,42.54,4.04,89.46
2023-01-03 08:00:00+00:00,47.49,4.68,88.78
2023-01-03 09:00:00+00:00,24.9,5.56,86.32
2023-01-03 10:00:00+00:00,39.67,6.2,88.67
2023-01-03 11:00:00+00:00,44.74,7.02,88.38
2023-01-03 12:00:00+00:00,46.19,7.86,87.75
2023-01-03 13:00:00+00:00,41.79,8.41,86.19
2023-01-03 14:00:00+00:00,29.57,8.88,84.45
2023-01-03 15:00:00+00:00,19.9,9.07,82.8
2023-01-03 16:00:00+00:00,15.41,8.83,83.63
2023-01-03 17:00:00+00:00,15.58,8.84,83.57
2023-01-03 18:00:00+00:00,13.77,8.69,83.92
2023-01-03 19:00:00+00:00,14.09,8.72,84.38
2023-01-03 20:00:00+00:00,12.18,8.97,83.73
2023-01-03 21:00:00+00:00,10.0,9.18,82.61
2023-01-03 22:00:00+00:00,7.94,9.4,82.34
2023-01-04 00:00:00+00:00,8.1,9.44,87.52
2023-01-04 01:00:00+00:00,5.89,9.45,89.71
2023-01-04 03:00:00+00:00,7.92,10.79,90.09
2023-01-04 04:00:00+00:00,4.97,11.65,88.88
2023-01-04 05:00:00+00:00,5.55,11.83,88.61
2023-01-04 07:00:00+00:00,4.88,12.06,88.05
2023-01-04 08:00:00+00:00,5.98,11.91,88.9
2023-01-04 09:00:00+00:00,4.79,11.72,89.87
2023-01-04 10:00:00+00:00,13.44,11.82,89.67
2023-01-04 11:00:00+00:00,10.46,12.08,88.99
2023-01-04 12:00:00+00:00,7.43,12.1,89.61
2023-01-04 13:00:00+00:00,10.05,12.29,87.5
2023-01-04 14:00:00+00:00,8.69,12.47,85.76
2023-01-04 15:00:00+00:00,8.64,12.43,84.17
2023-01-04 16:00:00+00:00,9.98,12.44,83.17
2023-01-04 17:00:00+00:00,14.25,12.2,82.74
2023-01-04 18:00:00+00:00,13.83,11.86,81.94
2023-01-04 19:00:00+00:00,17.9,11.72,83.26
2023-01-04 20:00:00+00:00,17.47,11.53,83.3
2023-01-04 21:00:00+00:00,19.7,11.27,83.78
2023-01-04 22:00:00+00:00,18.09,11.22,82.91
2023-01-04 23:00:00+00:00,17.54,11.32,81.18
2023-01-05 00:00:00+00:00,17.52,10.93,81.8
2023-01-05 01:00:00+00:00,14.76,10.65,81.2
2023-01-05 02:00:00+00:00,15.05,10.63,81.86
2023-01-05 03:00:00+00:00,15.98,10.91,82.11
2023-01-05 04:00:00+00:00,15.34,10.81,82.56
2023-01-05 05:00:00+00:00,14.42,10.79,82.75
2023-01-05 06:00:00+00:00,14.51,10.76,83.18
2023-01-05 07:00:00+00:00,13.87,10.73,83.43
2023-01-05 08:00:00+00:00,13.12,10.69,83.19
2023-01-05 09:00:00+00:00,13.09,10.69,83.19
2023-01-05 10:00:00+00:00,13.35,10.92,82.64
2023-01-05 11:00:00+00:00,11.64,11.22,81.08
2023-01-05 12:00:00+00:00,12.96,11.61,79.85
2023-01-05 13:00:00+00:00,13.54,12.03,78.19
2023-01-05 14:00:00+00:00,16.29,11.8,80.58
2023-01-05 15:00:00+00:00,15.91,11.59,81.48
2023-01-05 16:00:00+00:00,12.74,10.98,85.62
2023-01-05 17:00:00+00:00,11.58,10.63,87.91
2023-01-05 18:00:00+00:00,16.82,10.74,89.83
2023-01-05 19:00:00+00:00,24.84,11.07,89.96
2023-01-05 20:00:00+00:00,15.3,11.31,88.81
2023-01-05 21:00:00+00:00,9.02,11.39,87.99
2023-01-05 22:00:00+00:00,10.7,11.5,87.37
2023-01-05 23:00:00+00:00,7.23,11.54,86.04
2023-01-06 00:00:00+00:00,5.07,11.31,84.8
2023-01-06 01:00:00+00:00,4.3,11.16,83.67
2023-01-06 02:00:00+00:00,4.0,11.25,83.1
2023-01-06 03:00:00+00:00,7.42,11.13,84.09
2023-01-06 04:00:00+00:00,4.28,11.18,81.68
2023-01-06 05:00:00+00:00,3.8,11.11,82.12
2023-01-06 06:00:00+00:00,4.95,10.94,86.13
2023-01-06 07:00:00+00:00,4.42,10.83,87.9
2023-01-06 08:00:00+00:00,7.48,10.37,85.56
2023-01-06 09:00:00+00:00,5.55,9.47,83.71
2023-01-06 10:00:00+00:00,4.18,9.27,84.08
2023-01-06 11:00:00+00:00,4.76,9.7,82.06
2023-01-06 12:00:00+00:00,4.64,10.15,79.47
2023-01-06 13:00:00+00:00,4.14,10.35,78.25
2023-01-06 14:00:00+00:00,3.22,10.37,76.63
2023-01-06 15:00:00+00:00,3.46,10.21,76.16
2023-01-06 16:00:00+00:00,3.82,9.87,78.44
2023-01-06 17:00:00+00:00,4.67,9.52,79.7
2023-01-06 18:00:00+00:00,4.34,9.36,80.5
2023-01-06 19:00:00+00:00,6.57,9.59,82.02
2023-01-06 20:00:00+00:00,19.16,9.82,86.62
2023-01-06 21:00:00+00:00,32.38,10.38,88.99
2023-01-06 22:00:00+00:00,27.06,11.09,89.38
2023-01-06 23:00:00+00:00,24.62,11.37,90.28
2023-01-07 00:00:00+00:00,22.68,11.53,89.97
2023-01-07 01:00:00+00:00,19.24,11.55,88.83
2023-01-07 02:00:00+00:00,17.09,11.42,87.39
2023-01-07 03:00:00+00:00,12.8,11.23,86.34
2023-01-07 04:00:00+00:00,16.13,11.01,86.29
2023-01-07 05:00:00+00:00,13.15,10.93,85.75
2023-01-07 06:00:00+00:00,16.41,10.68,86.26
2023-01-07 07:00:00+00:00,18.31,10.34,87.18
2023-01-07 08:00:00+00:00,12.67,10.06,86.33
2023-01-07 09:00:00+00:00,6.59,10.27,83.87
2023-01-07 10:00:00+00:00,3.76,10.74,79.34
2023-01-07 11:00:00+00:00,3.56,11.1,75.95
2023-01-07 12:00:00+00:00,3.52,11.5,72.04
2023-01-07 13:00:00+00:00,3.02,11.5,71.14
2023-01-07 14:00:00+00:00,3.21,11.52,70.67
2023-01-07 15:00:00+00:00,4.26,11.42,70.8
2023-01-07 16:00:00+00:00,4.58,11.23,73.67
2023-01-07 17:00:00+00:00,4.87,10.71,76.68
2023-01-07 18:00:00+00:00,5.92,10.33,79.87
2023-01-07 19:00:00+00:00,8.17,9.85,83.61
2023-01-07 20:00:00+00:00,8.2,10.23,81.58
2023-01-07 21:00:00+00:00,10.0,10.3,83.3
2023-01-07 22:00:00+00:00,10.5,10.46,83.02
2023-01-07 23:00:00+00:00,9.13,10.71,80.88
2023-01-08 00:00:00+00:00,4.45,10.72,76.3
2023-01-08 01:00:00+00:00,4.46,10.11,75.78
2023-01-08 03:00:00+00:00,4.57,9.47,80.63
2023-01-08 04:00:00+00:00,4.13,9.35,81.9
2023-01-08 05:00:00+00:00,3.77,9.15,79.25
2023-01-08 06:00:00+00:00,4.23,8.78,78.7
2023-01-08 07:00:00+00:00,4.16,8.76,78.99
2023-01-08 08:00:00+00:00,4.5,8.3,79.8
2023-01-08 09:00:00+00:00,4.73,7.97,80.47
2023-01-08 10:00:00+00:00,5.03,7.99,80.04
2023-01-08 11:00:00+00:00,4.92,8.49,79.78
2023-01-08 12:00:00+00:00,5.36,9.44,77.61
2023-01-08 13:00:00+00:00,4.83,9.78,74.6
2023-01-08 14:00:00+00:00,4.85,9.82,73.85
2023-01-08 15:00:00+00:00,3.8,9.82,73.7
2023-01-08 16:00:00+00:00,3.85,9.75,72.96
2023-01-08 17:00:00+00:00,3.91,9.04,74.56
2023-01-08 18:00:00+00:00,4.59,8.93,75.46
2023-01-08 19:00:00+00:00,4.63,8.97,75.82
2023-01-08 20:00:00+00:00,4.54,8.67,77.33
2023-01-08 21:00:00+00:00,4.81,8.54,77.96
2023-01-08 22:00:00+00:00,4.17,8.73,79.65
2023-01-08 23:00:00+00:00,3.22,8.47,81.92
2023-01-09 00:00:00+00:00,2.73,8.37,81.81
2023-01-09 01:00:00+00:00,3.09,8.05,81.16
2023-01-09 02:00:00+00:00,2.77,7.32,82.76
2023-01-09 03:00:00+00:00,4.81,6.99,84.15
2023-01-09 04:00:00+00:00,7.39,7.0,84.44
2023-01-09 05:00:00+00:00,7.96,6.93,84.32
2023-01-09 06:00:00+00:00,9.12,6.86,84.84
2023-01-09 07:00:00+00:00,9.51,6.8,85.62
2023-01-09 08:00:00+00:00,12.05,6.93,87.81
2023-01-09 09:00:00+00:00,19.22,7.33,87.83
2023-01-09 10:00:00+00:00,17.37,7.75,87.85
2023-01-09 11:00:00+00:00,5.57,8.6,84.27
2023-01-09 12:00:00+00:00,6.18,9.14,81.3
2023-01-09 13:00:00+00:00,5.71,9.31,80.23
2023-01-09 14:00:00+00:00,6.29,9.55,79.49
2023-01-09 15:00:00+00:00,5.97,9.63,77.57
2023-01-09 16:00:00+00:00,5.13,9.28,78.4
2023-01-09 17:00:00+00:00,4.9,8.7,80.39
2023-01-09 18:00:00+00:00,5.17,8.2,82.01
2023-01-09 19:00:00+00:00,5.96,8.05,83.2
2023-01-09 20:00:00+00:00,6.83,8.19,80.38
2023-01-09 21:00:00+00:00,6.67,8.18,78.47
2023-01-09 22:00:00+00:00,6.34,8.01,75.91
2023-01-09 23:00:00+00:00,7.0,7.77,76.12
2023-01-10 00:00:00+00:00,7.36,7.92,77.08
2023-01-10 01:00:00+00:00,7.11,8.31,77.8
2023-01-10 02:00:00+00:00,8.61,8.37,79.9
2023-01-10 03:00:00+00:00,8.77,8.34,80.71
2023-01-10 04:00:00+00:00,8.92,8.1,81.12
2023-01-10 05:00:00+00:00,8.74,8.2,79.53
2023-01-10 06:00:00+00:00,8.0,7.8,80.36
2023-01-10 07:00:00+00:00,8.13,8.11,80.17
2023-01-10 08:00:00+00:00,10.06,8.12,80.57
2023-01-10 09:00:00+00:00,10.63,8.03,81.71
2023-01-10 10:00:00+00:00,9.74,7.96,81.31
2023-01-10 11:00:00+00:00,10.71,7.56,81.49
2023-01-10 12:00:00+00:00,11.59,7.23,80.76
2023-01-10 13:00:00+00:00,9.58,7.31,79.79
2023-01-10 14:00:00+00:00,9.36,7.44,80.78
2023-01-10 15:00:00+00:00,9.29,7.1,85.38
2023-01-10 16:00:00+00:00,7.67,7.07,87.1
2023-01-10 17:00:00+00:00,5.94,7.08,88.56
2023-01-10 18:00:00+00:00,8.71,7.32,89.53
2023-01-10 19:00:00+00:00,20.81,7.88,91.22
2023-01-10 20:00:00+00:00,23.8,8.82,90.49
2023-01-10 21:00:00+00:00,23.34,9.42,89.31
2023-01-10 22:00:00+00:00,23.19,9.82,90.79
2023-01-10 23:00:00+00:00,26.2,10.32,91.02
2023-01-11 00:00:00+00:00,20.21,10.85,91.07
2023-01-11 01:00:00+00:00,15.13,11.18,91.2
2023-01-11 02:00:00+00:00,5.59,11.79,90.14
2023-01-11 03:00:00+00:00,5.48,11.91,88.7
2023-01-11 04:00:00+00:00,10.68,11.57,88.45
2023-01-11 05:00:00+00:00,12.31,11.29,89.03
2023-01-11 06:00:00+00:00,8.33,11.08,86.57
2023-01-11 07:00:00+00:00,6.55,10.79,84.47
2023-01-11 08:00:00+00:00,7.41,10.04,84.51
2023-01-11 09:00:00+00:00,7.56,9.51,83.63
2023-01-11 10:00:00+00:00,7.97,9.43,82.69
2023-01-11 11:00:00+00:00,9.42,9.7,81.55
2023-01-11 12:00:00+00:00,10.28,10.43,79.93
2023-01-11 13:00:00+00:00,9.95,10.53,75.62
2023-01-11 14:00:00+00:00,9.27,10.32,75.55
2023-01-11 15:00:00+00:00,10.36,9.98,75.0
2023-01-11 16:00:00+00:00,10.51,9.6,77.61
2023-01-11 17:00:00+00:00,12.82,9.37,79.2
2023-01-11 18:00:00+00:00,12.54,9.75,78.45
2023-01-11 19:00:00+00:00,12.84,9.69,82.36
2023-01-11 20:00:00+00:00,13.03,9.41,83.68
2023-01-11 21:00:00+00:00,9.85,9.6,81.86
2023-01-11 22:00:00+00:00,11.35,9.74,81.83
2023-01-11 23:00:00+00:00,10.92,9.71,81.45
2023-01-12 00:00:00+00:00,10.5,9.72,81.01
2023-01-12 01:00:00+00:00,11.68,9.84,82.07
2023-01-12 03:00:00+00:00,16.41,10.1,87.86
2023-01-12 04:00:00+00:00,10.75,9.89,86.39
2023-01-12 05:00:00+00:00,3.91,9.78,88.63
2023-01-12 06:00:00+00:00,7.44,10.23,89.81
2023-01-12 07:00:00+00:00,18.94,10.77,89.66
2023-01-12 08:00:00+00:00,16.58,11.12,88.16
2023-01-12 09:00:00+00:00,13.86,11.4,86.71
2023-01-12 10:00:00+00:00,13.74,11.65,86.14
2023-01-12 11:00:00+00:00,14.22,11.81,86.1
2023-01-12 12:00:00+00:00,14.84,11.89,86.08
2023-01-12 13:00:00+00:00,13.73,11.68,87.45
2023-01-12 14:00:00+00:00,9.72,11.5,88.65
2023-01-12 15:00:00+00:00,6.11,11.43,88.45
2023-01-12 16:00:00+00:00,3.5,11.27,89.37
2023-01-12 17:00:00+00:00,3.96,11.27,89.64
2023-01-12 18:00:00+00:00,7.97,11.37,88.86
2023-01-12 19:00:00+00:00,10.43,11.38,88.14
2023-01-12 20:00:00+00:00,9.34,11.5,87.34
2023-01-12 21:00:00+00:00,8.54,11.23,85.89
2023-01-12 22:00:00+00:00,10.4,10.75,84.04
2023-01-12 23:00:00+00:00,14.66,9.93,77.12
2023-01-13 00:00:00+00:00,16.41,9.33,76.48
2023-01-13 01:00:00+00:00,16.95,9.2,75.82
2023-01-13 02:00:00+00:00,16.35,9.17,75.95
2023-01-13 03:00:00+00:00,17.3,9.13,76.63
2023-01-13 04:00:00+00:00,13.24,9.1,74.24
2023-01-13 05:00:00+00:00,11.19,9.24,72.71
2023-01-13 06:00:00+00:00,10.84,9.03,73.14
2023-01-13 07:00:00+00:00,12.95,9.17,74.1
2023-01-13 08:00:00+00:00,13.27,8.88,77.56
2023-01-13 09:00:00+00:00,12.23,9.08,75.43
2023-01-13 10:00:00+00:00,11.01,9.39,74.02
2023-01-13 11:00:00+00:00,10.05,9.64,73.07
2023-01-13 12:00:00+00:00,7.54,10.01,71.48
2023-01-13 13:00:00+00:00,7.64,10.09,70.9
2023-01-13 14:00:00+00:00,7.54,10.12,71.08
2023-01-13 15:00:00+00:00,7.28,9.92,73.41
2023-01-13 16:00:00+00:00,7.53,9.82,72.94
2023-01-13 17:00:00+00:00,6.34,9.66,73.69
2023-01-13 18:00:00+00:00,6.37,9.34,77.97
2023-01-13 19:00:00+00:00,6.98,9.22,78.4
2023-01-13 20:00:00+00:00,6.98,9.37,76.22
2023-01-13 21:00:00+00:00,7.95,9.25,75.76
2023-01-13 22:00:00+00:00,9.73,9.33,74.61
2023-01-13 23:00:00+00:00,6.87,9.31,74.8
