pm25,temperature,datetime,humidity
7.59,10.41,2023-03-22 07:00:00+00:00,77.26
4.99,10.97,2023-03-22 08:00:00+00:00,74.95
4.72,10.79,2023-03-22 09:00:00+00:00,78.66
6.06,10.44,2023-03-22 10:00:00+00:00,82.07
5.97,10.68,2023-03-22 11:00:00+00:00,82.37
5.79,11.17,2023-03-22 12:00:00+00:00,80.84
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
6.81,11.53,2023-03-22 13:00:00+00:00,79.41
8.18,11.94,2023-03-22 14:00:00+00:00,78.59
7.22,12.23,2023-03-22 15:00:00+00:00,79.11
18.48,11.78,2023-03-22 17:00:00+00:00,85.73
14.15,11.6,2023-03-22 18:00:00+00:00,87.13
25.07,11.6,2023-03-22 19:00:00+00:00,88.22
28.32,11.52,2023-03-22 20:00:00+00:00,89.18
25.48,11.46,2023-03-22 21:00:00+00:00,88.77
16.62,11.27,2023-03-22 22:00:00+00:00,88.32
31.7,11.07,2023-03-22 23:00:00+00:00,88.93
18.83,11.47,2023-03-23 00:00:00+00:00,87.48
8.54,11.9,2023-03-23 01:00:00+00:00,82.69
4.84,12.26,2023-03-23 02:00:00+00:00,79.31
4.38,12.12,2023-03-23 03:00:00+00:00,80.45
4.48,11.74,2023-03-23 04:00:00+00:00,81.48
5.13,11.38,2023-03-23 05:00:00+00:00,81.04
8.17,10.95,2023-03-23 06:00:00+00:00,80.51
9.92,10.67,2023-03-23 07:00:00+00:00,81.37
10.23,10.94,2023-03-23 08:00:00+00:00,80.45
8.01,12.42,2023-03-23 09:00:00+00:00,73.89
7.42,13.63,2023-03-23 10:00:00+00:00,68.37
7.32,14.25,2023-03-23 11:00:00+00:00,65.26
7.46,14.95,2023-03-23 12:00:00+00:00,61.37
6.55,15.21,2023-03-23 13:00:00+00:00,59.93
5.66,15.1,2023-03-23 14:00:00+00:00,59.96
7.16,15.2,2023-03-23 15:00:00+00:00,59.81
7.95,14.9,2023-03-23 16:00:00+00:00,60.05
7.55,14.39,2023-03-23 17:00:00+00:00,62.13
8.28,13.98,2023-03-23 18:00:00+00:00,63.13
8.84,13.68,2023-03-23 19:00:00+00:00,67.18
8.37,12.73,2023-03-23 20:00:00+00:00,79.08
8.93,12.46,2023-03-23 21:00:00+00:00,83.86
10.78,12.41,2023-03-23 22:00:00+00:00,84.63
15.48,12.3,2023-03-23 23:00:00+00:00,84.84
7.4,12.13,2023-03-24 00:00:00+00:00,84.78
7.89,12.18,2023-03-24 01:00:00+00:00,85.74
7.52,12.47,2023-03-24 02:00:00+00:00,84.72
3.61,11.52,2023-03-24 03:00:00+00:00,81.62
4.5,10.32,2023-03-24 04:00:00+00:00,82.5
4.83,9.86,2023-03-24 05:00:00+00:00,83.65
8.04,9.6,2023-03-24 06:00:00+00:00,83.84
10.24,9.67,2023-03-24 07:00:00+00:00,84.73
10.86,10.37,2023-03-24 08:00:00+00:00,81.45
10.56,11.68,2023-03-24 09:00:00+00:00,75.55
8.08,12.78,2023-03-24 10:00:00+00:00,70.55
7.48,13.05,2023-03-24 11:00:00+00:00,68.38
6.69,13.64,2023-03-24 12:00:00+00:00,65.55
5.58,14.01,2023-03-24 13:00:00+00:00,63.59
5.75,13.85,2023-03-24 14:00:00+00:00,64.79
6.59,13.57,2023-03-24 15:00:00+00:00,65.04
6.26,13.24,2023-03-24 16:00:00+00:00,64.81
9.62,12.4,2023-03-24 17:00:00+00:00,67.04
5.79,11.69,2023-03-24 18:00:00+00:00,67.97
4.86,11.12,2023-03-24 19:00:00+00:00,67.95
7.07,10.68,2023-03-24 20:00:00+00:00,72.4
9.87,10.56,2023-03-24 21:00:00+00:00,72.6
17.1,9.62,2023-03-29 08:00:00+00:00,76.68
23.52,10.12,2023-03-29 09:00:00+00:00,80.23
22.9,12.11,2023-03-29 11:00:00+00:00,75.92
