datetime,pm25_HLL_339,temperature_HLL_339,humidity_HLL_339,pm25_HLL_298,temperature_HLL_298,humidity_HLL_298,pm25_HLL_326,temperature_HLL_326,humidity_HLL_326,pm25_HLL_320,temperature_HLL_320,humidity_HLL_320,Unnamed: 0,pm25_NLMedian,pm25_mean,pm25_HLL_378,temperature_HLL_378,humidity_HLL_378,pm25_HLL_415,temperature_HLL_415,humidity_HLL_415,pm25_HLL_325,temperature_HLL_325,humidity_HLL_325,pm25_HLL_323,temperature_HLL_323,humidity_HLL_323,pm25_HLL_345,temperature_HLL_345,humidity_HLL_345,pm25_HLL_413,temperature_HLL_413,humidity_HLL_413,winddirection,windspeed,temperature_knmi,humidity_knmi,diff_298_326,diff_326_320,diff_298_320,diff_298_378,diff_345_325,highhumidity,diff_298_NLMedian,diff_326_NLMedian,diff_320_NLMedian,diff_415_NLMedian,diff_378_NLMedian,diff_339_NLMedian,diff_325_NLMedian,datehour,dateday
2023-04-03 06:00:00+00:00,3.72,5.62,71.91,5.05,3.46,75.07,5.26,2.73,82.78,5.32,3.66,78.72,2209,6.6,6.6625000000000005,4.68,2.81,80.59,4.57,3.7,75.61,4.74,3.52,77.33,5.94,2.8,81.81,6.09,3.29,78.95,4.71,2.51,80.02,80.0,4.0,2.7,80.0,-0.20999999999999996,-0.0600000000000005,-0.27000000000000046,0.3700000000000001,1.3499999999999996,False,-1.5499999999999998,-1.3399999999999999,-1.2799999999999994,-2.0299999999999994,-1.92,-2.8799999999999994,-1.8599999999999994,6,Monday
2023-04-03 07:00:00+00:00,3.78,5.83,72.1,4.7,4.01,73.57,4.86,2.91,82.7,4.92,4.17,76.7,2210,6.9,8.075,4.45,3.52,78.38,4.57,3.72,76.72,4.64,3.81,77.63,4.33,6.24,67.04,4.31,7.18,64.6,4.62,3.22,78.49,70.0,4.0,4.1,74.0,-0.16000000000000014,-0.05999999999999961,-0.21999999999999975,0.25,-0.33000000000000007,False,-2.2,-2.04,-1.9800000000000004,-2.33,-2.45,-3.1200000000000006,-2.2600000000000007,7,Monday
2023-04-03 08:00:00+00:00,3.69,6.19,70.58,4.29,5.35,66.79,4.32,3.58,79.19,4.11,5.23,70.97,2211,6.1,7.18125,4.24,4.25,74.37,4.44,4.76,72.54,3.69,5.0,74.53,4.06,5.19,68.04,3.59,12.07,45.57,3.55,5.45,68.81,90.0,5.0,5.3,67.0,-0.03000000000000025,0.20999999999999996,0.17999999999999972,0.04999999999999982,-0.10000000000000009,False,-1.8099999999999996,-1.7799999999999994,-1.9899999999999993,-1.6599999999999993,-1.8599999999999994,-2.4099999999999997,-2.4099999999999997,8,Monday
2023-04-03 09:00:00+00:00,3.22,6.94,65.29,3.62,7.06,58.09,3.87,5.56,71.23,3.45,6.22,62.7,2212,7.35,8.08125,3.45,6.72,62.39,3.54,6.74,62.98,3.29,6.44,68.52,3.19,10.28,47.24,3.05,14.78,36.65,3.01,7.93,54.97,70.0,5.0,6.8,52.0,-0.25,0.41999999999999993,0.16999999999999993,0.16999999999999993,-0.2400000000000002,False,-3.7299999999999995,-3.4799999999999995,-3.8999999999999995,-3.8099999999999996,-3.8999999999999995,-4.129999999999999,-4.06,9,Monday
2023-04-03 10:00:00+00:00,2.28,8.17,56.5,2.68,8.62,46.07,2.42,11.03,46.14,2.52,7.45,51.13,2213,5.65,6.88125,2.39,8.03,51.25,2.37,8.69,50.46,2.43,7.58,60.46,2.32,12.29,35.49,2.34,17.31,27.71,2.26,9.49,43.39,80.0,7.0,7.6,49.0,0.26000000000000023,-0.10000000000000009,0.16000000000000014,0.29000000000000004,-0.0900000000000003,False,-2.97,-3.2300000000000004,-3.1300000000000003,-3.2800000000000002,-3.2600000000000002,-3.3700000000000006,-3.22,10,Monday
2023-04-03 11:00:00+00:00,1.85,9.2,48.53,2.09,9.97,39.62,1.68,14.32,35.75,1.83,8.54,42.34,2214,4.85,5.9750000000000005,1.83,7.44,46.5,1.93,10.91,41.05,2.36,8.83,52.6,1.91,13.7,29.89,1.88,17.16,25.27,1.78,10.07,39.3,80.0,8.0,8.5,39.0,0.4099999999999999,-0.15000000000000013,0.2599999999999998,0.2599999999999998,-0.48,False,-2.76,-3.17,-3.0199999999999996,-2.92,-3.0199999999999996,-2.9999999999999996,-2.4899999999999998,11,Monday
2023-04-03 12:00:00+00:00,1.32,10.21,42.46,1.48,11.02,32.74,1.45,16.81,27.5,1.53,9.64,35.08,2215,4.2,5.25,1.25,8.31,39.05,1.35,12.45,33.81,1.4,9.96,46.5,1.43,14.96,23.98,1.54,15.99,23.44,1.61,11.06,33.83,70.0,6.0,9.3,39.0,0.030000000000000027,-0.08000000000000007,-0.050000000000000044,0.22999999999999998,0.14000000000000012,False,-2.72,-2.75,-2.67,-2.85,-2.95,-2.88,-2.8000000000000003,12,Monday
2023-04-03 13:00:00+00:00,1.35,10.5,41.0,1.35,11.67,31.09,1.21,17.79,24.88,1.48,10.26,33.39,2216,3.15,4.03125,1.35,8.85,37.94,1.31,13.35,32.1,1.48,10.64,42.04,1.26,15.44,22.77,1.44,14.38,25.48,1.4,11.43,33.06,100.0,6.0,9.8,38.0,0.14000000000000012,-0.27,-0.1299999999999999,0.0,-0.040000000000000036,False,-1.7999999999999998,-1.94,-1.67,-1.8399999999999999,-1.7999999999999998,-1.7999999999999998,-1.67,13,Monday
2023-04-03 14:00:00+00:00,1.49,12.95,36.69,1.74,12.77,30.99,1.45,18.36,25.48,1.88,10.77,34.43,2217,3.1,2.5,1.64,9.22,38.89,1.58,14.21,32.48,1.68,10.96,41.93,1.49,15.86,23.79,1.83,11.74,31.63,1.58,11.73,33.44,60.0,6.0,10.0,39.0,0.29000000000000004,-0.42999999999999994,-0.1399999999999999,0.10000000000000009,0.15000000000000013,False,-1.36,-1.6500000000000001,-1.2200000000000002,-1.52,-1.4600000000000002,-1.61,-1.4200000000000002,14,Monday
2023-04-03 15:00:00+00:00,1.63,16.96,30.06,1.95,13.29,31.29,1.61,18.25,25.29,2.49,10.98,33.98,2218,4.5,4.506666666666667,1.7,9.76,38.09,1.78,13.93,33.69,1.71,10.45,41.99,1.74,16.4,23.66,2.13,10.92,32.79,1.82,11.59,34.6,60.0,6.0,9.6,40.0,0.33999999999999986,-0.8800000000000001,-0.5400000000000003,0.25,0.41999999999999993,False,-2.55,-2.8899999999999997,-2.01,-2.7199999999999998,-2.8,-2.87,-2.79,15,Monday
