pm25,temperature,datetime,humidity
0.88,19.04,2023-01-27 07:00:00+00:00,47.35
0.79,19.17,2023-01-27 08:00:00+00:00,48.01
1.03,20.06,2023-01-27 09:00:00+00:00,47.23
1.9,20.54,2023-01-27 10:00:00+00:00,46.14
1.86,20.63,2023-01-27 11:00:00+00:00,45.35
1.34,20.98,2023-01-27 12:00:00+00:00,45.28
1.12,20.98,2023-01-27 13:00:00+00:00,44.96
1.01,20.77,2023-01-27 14:00:00+00:00,45.24
0.78,20.64,2023-01-27 15:00:00+00:00,45.6
0.86,20.58,2023-01-27 16:00:00+00:00,45.72
0.9,20.6,2023-01-27 17:00:00+00:00,45.78
0.72,20.58,2023-01-27 18:00:00+00:00,45.29
0.9,20.55,2023-01-27 19:00:00+00:00,44.99
1.01,20.55,2023-01-27 20:00:00+00:00,45.55
81.02,20.61,2023-01-27 21:00:00+00:00,49.28
85.37,20.67,2023-01-27 22:00:00+00:00,48.97
39.92,22.1,2023-01-27 23:00:00+00:00,44.02
21.51,22.11,2023-01-28 00:00:00+00:00,43.63
11.39,21.66,2023-01-28 01:00:00+00:00,43.66
4.01,19.85,2023-01-28 03:00:00+00:00,45.62
2.61,19.54,2023-01-28 04:00:00+00:00,45.72
1.67,19.35,2023-01-28 05:00:00+00:00,45.59
1.23,19.17,2023-01-28 06:00:00+00:00,45.55
1.0,18.98,2023-01-28 07:00:00+00:00,45.41
0.73,18.83,2023-01-28 08:00:00+00:00,45.32
0.81,18.74,2023-01-28 09:00:00+00:00,45.2
1.27,19.21,2023-01-28 10:00:00+00:00,44.3
1.2,20.18,2023-01-28 11:00:00+00:00,43.32
1.17,21.18,2023-01-28 12:00:00+00:00,43.5
1.08,22.18,2023-01-28 13:00:00+00:00,42.19
1.11,22.38,2023-01-28 14:00:00+00:00,41.24
1.38,26.19,2023-01-28 15:00:00+00:00,34.4
1.31,22.3,2023-01-28 16:00:00+00:00,39.91
1.26,21.19,2023-01-28 17:00:00+00:00,43.34
14.34,21.62,2023-01-28 18:00:00+00:00,46.68
9.73,22.04,2023-01-28 19:00:00+00:00,48.3
5.74,21.89,2023-01-28 20:00:00+00:00,44.87
3.99,21.45,2023-01-28 21:00:00+00:00,44.0
7.01,21.47,2023-01-28 22:00:00+00:00,44.51
4.31,21.0,2023-01-28 23:00:00+00:00,45.34
2.96,20.55,2023-01-29 00:00:00+00:00,46.38
2.22,20.13,2023-01-29 01:00:00+00:00,46.86
1.98,19.75,2023-01-29 02:00:00+00:00,46.61
2.05,19.48,2023-01-29 03:00:00+00:00,46.53
2.25,19.27,2023-01-29 04:00:00+00:00,46.37
2.45,19.11,2023-01-29 05:00:00+00:00,46.18
2.61,18.97,2023-01-29 06:00:00+00:00,46.1
2.75,18.82,2023-01-29 07:00:00+00:00,46.01
2.99,18.72,2023-01-29 08:00:00+00:00,45.9
4.41,18.57,2023-01-29 09:00:00+00:00,46.01
4.44,19.09,2023-01-29 10:00:00+00:00,46.38
2.82,19.95,2023-01-29 11:00:00+00:00,44.68
2.2,20.32,2023-01-29 12:00:00+00:00,44.65
4.62,20.47,2023-01-29 13:00:00+00:00,44.41
4.77,20.73,2023-01-29 14:00:00+00:00,44.31
4.9,20.69,2023-01-29 15:00:00+00:00,43.62
4.76,20.66,2023-01-29 16:00:00+00:00,43.6
7.18,20.88,2023-01-29 17:00:00+00:00,48.11
36.52,21.08,2023-01-29 18:00:00+00:00,51.89
74.99,21.57,2023-01-29 19:00:00+00:00,51.8
26.96,21.6,2023-01-29 20:00:00+00:00,48.35
11.64,21.43,2023-01-29 21:00:00+00:00,47.11
9.33,21.5,2023-01-29 22:00:00+00:00,47.08
6.33,21.19,2023-01-29 23:00:00+00:00,47.45
4.31,20.59,2023-01-30 00:00:00+00:00,48.43
3.09,20.18,2023-01-30 01:00:00+00:00,48.27
2.62,19.98,2023-01-30 02:00:00+00:00,47.85
2.18,19.68,2023-01-30 03:00:00+00:00,48.03
2.37,19.48,2023-01-30 04:00:00+00:00,48.19
2.08,19.32,2023-01-30 05:00:00+00:00,48.23
2.1,19.19,2023-01-30 06:00:00+00:00,48.28
2.63,19.15,2023-01-30 07:00:00+00:00,48.69
2.69,18.54,2023-01-30 08:00:00+00:00,49.67
2.7,19.17,2023-01-30 09:00:00+00:00,49.97
3.0,20.37,2023-01-30 10:00:00+00:00,48.02
3.12,21.2,2023-01-30 11:00:00+00:00,46.28
2.53,25.2,2023-01-30 12:00:00+00:00,39.19
2.68,26.18,2023-01-30 13:00:00+00:00,37.05
2.91,25.46,2023-01-30 14:00:00+00:00,38.49
2.51,24.7,2023-01-30 15:00:00+00:00,39.43
3.56,22.13,2023-01-30 16:00:00+00:00,43.97
3.59,20.77,2023-01-30 17:00:00+00:00,47.47
3.34,20.49,2023-01-30 18:00:00+00:00,52.2
3.27,20.56,2023-01-30 19:00:00+00:00,51.4
14.4,20.7,2023-01-30 20:00:00+00:00,52.95
21.04,20.63,2023-01-30 21:00:00+00:00,53.77
14.7,20.53,2023-01-30 22:00:00+00:00,52.64
3.36,18.89,2023-01-31 20:00:00+00:00,47.15
6.82,19.68,2023-01-31 21:00:00+00:00,49.67
5.98,20.77,2023-01-31 22:00:00+00:00,49.61
4.97,20.72,2023-01-31 23:00:00+00:00,49.1
4.54,20.69,2023-02-01 00:00:00+00:00,48.2
4.99,20.5,2023-02-01 01:00:00+00:00,46.31
5.42,19.44,2023-02-01 03:00:00+00:00,45.23
5.18,19.14,2023-02-01 04:00:00+00:00,45.07
5.27,18.94,2023-02-01 05:00:00+00:00,45.37
4.73,18.74,2023-02-01 06:00:00+00:00,45.52
9.01,18.63,2023-02-01 07:00:00+00:00,45.58
7.98,19.38,2023-02-01 08:00:00+00:00,44.31
5.52,20.18,2023-02-01 09:00:00+00:00,44.01
4.75,19.62,2023-02-01 10:00:00+00:00,38.44
7.24,12.98,2023-02-01 11:00:00+00:00,52.81
9.41,9.39,2023-02-01 12:00:00+00:00,64.74
8.79,10.15,2023-02-01 13:00:00+00:00,63.27
8.57,11.35,2023-02-01 14:00:00+00:00,59.93
8.27,11.02,2023-02-01 15:00:00+00:00,61.6
9.73,9.25,2023-02-01 16:00:00+00:00,70.85
9.1,9.07,2023-02-01 17:00:00+00:00,72.14
7.94,8.19,2023-02-01 18:00:00+00:00,78.0
10.6,7.75,2023-02-01 19:00:00+00:00,84.42
6.93,7.65,2023-02-02 02:00:00+00:00,86.53
10.08,7.72,2023-02-02 03:00:00+00:00,87.55
9.92,7.97,2023-02-02 04:00:00+00:00,84.6
9.44,8.36,2023-02-02 05:00:00+00:00,82.62
7.74,8.35,2023-02-02 06:00:00+00:00,83.2
8.58,8.12,2023-02-02 07:00:00+00:00,86.1
9.06,8.19,2023-02-02 08:00:00+00:00,84.2
