datetime,winddirection,windspeed,temperature,humidity
2023-06-01 00:00:00+00:00,30,6.0,11.3,85.0
2023-06-01 01:00:00+00:00,30,6.0,11.2,85.0
2023-06-01 02:00:00+00:00,40,6.0,10.9,85.0
2023-06-01 03:00:00+00:00,40,6.0,11.0,85.0
2023-06-01 04:00:00+00:00,40,6.0,11.0,84.0
2023-06-01 05:00:00+00:00,20,5.0,11.5,84.0
2023-06-01 06:00:00+00:00,20,4.0,11.9,82.0
2023-06-01 07:00:00+00:00,10,5.0,12.1,78.0
2023-06-01 08:00:00+00:00,20,5.0,12.9,74.0
2023-06-01 09:00:00+00:00,30,6.0,13.4,71.0
2023-06-01 10:00:00+00:00,30,5.0,14.9,69.0
2023-06-01 11:00:00+00:00,10,5.0,15.4,65.0
2023-06-01 12:00:00+00:00,20,5.0,14.1,74.0
2023-06-01 13:00:00+00:00,340,5.0,13.9,76.0
2023-06-01 14:00:00+00:00,340,6.0,13.7,77.0
2023-06-01 15:00:00+00:00,10,5.0,14.0,69.0
2023-06-01 16:00:00+00:00,10,4.0,13.5,74.0
2023-06-01 17:00:00+00:00,20,6.0,12.8,71.0
2023-06-01 18:00:00+00:00,20,5.0,12.3,72.0
2023-06-01 19:00:00+00:00,360,5.0,11.9,75.0
2023-06-01 20:00:00+00:00,10,5.0,11.6,74.0
2023-06-01 21:00:00+00:00,20,5.0,11.2,71.0
2023-06-01 22:00:00+00:00,10,4.0,11.2,69.0
2023-06-01 23:00:00+00:00,360,4.0,11.2,72.0
2023-06-02 00:00:00+00:00,10,5.0,10.8,71.0
2023-06-02 01:00:00+00:00,10,5.0,10.4,71.0
2023-06-02 02:00:00+00:00,350,4.0,10.4,73.0
2023-06-02 03:00:00+00:00,10,5.0,10.4,71.0
2023-06-02 04:00:00+00:00,10,5.0,10.3,71.0
2023-06-02 05:00:00+00:00,360,4.0,10.5,72.0
2023-06-02 06:00:00+00:00,360,4.0,11.0,72.0
2023-06-02 07:00:00+00:00,360,4.0,11.6,69.0
2023-06-02 08:00:00+00:00,20,4.0,11.9,73.0
2023-06-02 09:00:00+00:00,40,4.0,12.3,75.0
2023-06-02 10:00:00+00:00,40,5.0,13.0,74.0
2023-06-02 11:00:00+00:00,30,5.0,13.7,74.0
2023-06-02 12:00:00+00:00,50,4.0,14.3,73.0
2023-06-02 13:00:00+00:00,20,3.0,16.8,69.0
