datetime,pm25,temperature,humidity
2023-09-08 00:00:00+00:00,8.34,22.92,69.65
2023-09-08 01:00:00+00:00,8.14,22.28,70.23
2023-09-08 02:00:00+00:00,8.4,21.55,72.11
2023-09-08 03:00:00+00:00,9.53,20.74,74.4
2023-09-08 04:00:00+00:00,11.07,20.22,75.56
2023-09-08 05:00:00+00:00,14.05,19.81,76.21
2023-09-08 06:00:00+00:00,13.94,19.6,76.35
2023-09-08 07:00:00+00:00,16.46,20.41,73.97
2023-09-08 08:00:00+00:00,17.81,22.1,70.59
2023-09-08 09:00:00+00:00,18.59,24.56,65.63
2023-09-08 10:00:00+00:00,16.69,27.9,57.96
2023-09-08 11:00:00+00:00,12.58,33.93,44.31
2023-09-08 12:00:00+00:00,16.45,33.37,43.08
2023-09-08 13:00:00+00:00,11.44,34.51,39.66
2023-09-08 14:00:00+00:00,6.98,32.46,40.57
2023-09-08 15:00:00+00:00,5.9,34.7,37.9
2023-09-08 16:00:00+00:00,4.16,39.92,30.2
2023-09-08 17:00:00+00:00,4.63,34.05,39.91
2023-09-08 18:00:00+00:00,6.58,29.58,50.49
2023-09-08 19:00:00+00:00,14.21,26.98,56.41
2023-09-08 20:00:00+00:00,49.17,25.26,66.43
2023-09-08 21:00:00+00:00,58.2,24.15,70.65
2023-09-08 22:00:00+00:00,64.91,23.39,72.98
2023-09-08 23:00:00+00:00,64.24,22.78,74.23
2023-09-09 00:00:00+00:00,59.32,21.99,75.81
2023-09-09 01:00:00+00:00,62.68,21.54,78.22
2023-09-09 02:00:00+00:00,61.93,21.43,79.72
2023-09-09 03:00:00+00:00,59.38,21.03,79.55
2023-09-09 04:00:00+00:00,58.19,20.54,79.39
2023-09-09 05:00:00+00:00,54.48,20.0,79.59
2023-09-09 06:00:00+00:00,50.34,19.64,80.08
2023-09-09 07:00:00+00:00,52.0,20.24,81.43
2023-09-09 08:00:00+00:00,38.53,22.12,78.3
2023-09-09 09:00:00+00:00,18.2,24.48,66.28
2023-09-09 10:00:00+00:00,10.49,27.45,53.55
2023-09-09 11:00:00+00:00,6.05,31.93,38.17
2023-09-09 12:00:00+00:00,6.2,32.22,37.75
2023-09-09 13:00:00+00:00,6.49,33.03,38.34
2023-09-09 14:00:00+00:00,7.18,31.54,41.05
2023-09-09 15:00:00+00:00,6.84,33.4,39.38
2023-09-09 16:00:00+00:00,5.32,38.09,32.27
2023-09-09 17:00:00+00:00,6.15,33.05,41.27
2023-09-09 18:00:00+00:00,8.14,29.04,52.47
2023-09-09 19:00:00+00:00,10.66,27.18,59.81
2023-09-09 20:00:00+00:00,13.28,26.03,64.32
2023-09-09 21:00:00+00:00,19.13,25.39,67.21
2023-09-09 22:00:00+00:00,24.81,24.87,69.37
2023-09-09 23:00:00+00:00,28.55,24.27,71.09
