pm25,datetime
17.0,2023-09-08 00:00:00+00:00
16.4,2023-09-08 01:00:00+00:00
17.7,2023-09-08 02:00:00+00:00
18.6,2023-09-08 03:00:00+00:00
18.8,2023-09-08 04:00:00+00:00
17.1,2023-09-08 05:00:00+00:00
18.4,2023-09-08 06:00:00+00:00
19.9,2023-09-08 07:00:00+00:00
21.4,2023-09-08 08:00:00+00:00
19.9,2023-09-08 09:00:00+00:00
18.1,2023-09-08 10:00:00+00:00
19.5,2023-09-08 11:00:00+00:00
11.9,2023-09-08 12:00:00+00:00
8.7,2023-09-08 13:00:00+00:00
8.6,2023-09-08 14:00:00+00:00
9.0,2023-09-08 15:00:00+00:00
8.8,2023-09-08 16:00:00+00:00
23.1,2023-09-08 17:00:00+00:00
26.1,2023-09-08 18:00:00+00:00
21.4,2023-09-08 19:00:00+00:00
42.6,2023-09-08 20:00:00+00:00
80.2,2023-09-08 21:00:00+00:00
103.4,2023-09-08 22:00:00+00:00
97.1,2023-09-08 23:00:00+00:00
85.3,2023-09-09 00:00:00+00:00
83.6,2023-09-09 01:00:00+00:00
74.6,2023-09-09 02:00:00+00:00
77.1,2023-09-09 03:00:00+00:00
77.9,2023-09-09 04:00:00+00:00
77.7,2023-09-09 05:00:00+00:00
73.5,2023-09-09 06:00:00+00:00
70.1,2023-09-09 07:00:00+00:00
54.8,2023-09-09 08:00:00+00:00
28.6,2023-09-09 09:00:00+00:00
19.3,2023-09-09 10:00:00+00:00
22.5,2023-09-09 11:00:00+00:00
19.5,2023-09-09 12:00:00+00:00
20.4,2023-09-09 13:00:00+00:00
20.4,2023-09-09 14:00:00+00:00
19.5,2023-09-09 15:00:00+00:00
18.6,2023-09-09 16:00:00+00:00
17.4,2023-09-09 17:00:00+00:00
18.3,2023-09-09 18:00:00+00:00
19.5,2023-09-09 19:00:00+00:00
21.2,2023-09-09 20:00:00+00:00
22.5,2023-09-09 21:00:00+00:00
21.8,2023-09-09 22:00:00+00:00
22.3,2023-09-09 23:00:00+00:00
