sensor,lat,lon
NL10418,51.914233,4.479923
NL54004,51.978328,5.969485
NL10617,52.423214,5.59338
NL49570,52.489303,4.640531
NL49701,52.448011,4.816706
NL49556,52.56359,4.8617
NL49561,52.334003,4.774006
NL10641,52.20153,4.987444
NL10636,52.105031,5.124464
NL10538,52.80342,5.048975
NL10738,52.111621,5.708419
NL10644,51.974489,4.923301
NL10404,52.077148,4.289185
HLL_298,52.471,4.81
HLL_462,52.376,4.598
HLL_532,52.491,4.589
HLL_413,52.493,4.813
HLL_323,52.44,4.81
HLL_284,52.328,5.069
HLL_527,52.225,5.313
HLL_350,52.253,5.251
HLL_546,52.551,4.659
HLL_250,52.319,5.099
HLL_509,52.301,5.23
HLL_469,52.364,4.617
HLL_448,52.439,4.717
HLL_474,52.369,4.906
HLL_506,52.293,5.281
HLL_439,52.498,4.757
HLL_334,52.242,5.214
HLL_415,52.47,4.829
HLL_458,52.416,4.691
