pm25,temperature,datetime,humidity
0.16,29.1,2023-01-07 08:00:00+00:00,27.9
0.14,29.15,2023-01-07 09:00:00+00:00,27.0
0.11,29.25,2023-01-07 10:00:00+00:00,26.24
0.11,29.34,2023-01-07 11:00:00+00:00,25.41
0.11,29.4,2023-01-07 12:00:00+00:00,25.0
0.1,29.4,2023-01-07 13:00:00+00:00,24.2
0.1,29.4,2023-01-07 14:00:00+00:00,24.0
0.13,29.3,2023-01-07 15:00:00+00:00,24.0
0.13,29.18,2023-01-07 16:00:00+00:00,24.0
0.15,29.1,2023-01-07 17:00:00+00:00,24.0
0.16,29.1,2023-01-07 18:00:00+00:00,24.57
0.18,29.03,2023-01-07 19:00:00+00:00,25.0
0.2,29.0,2023-01-07 20:00:00+00:00,25.0
0.23,29.05,2023-01-07 21:00:00+00:00,25.0
0.21,29.1,2023-01-07 22:00:00+00:00,25.69
0.21,29.09,2023-01-07 23:00:00+00:00,26.0
0.19,29.1,2023-01-08 00:00:00+00:00,26.0
0.12,29.0,2023-01-08 01:00:00+00:00,26.0
0.12,29.0,2023-01-08 03:00:00+00:00,25.29
0.09,29.0,2023-01-08 04:00:00+00:00,25.0
0.1,29.04,2023-01-08 05:00:00+00:00,25.0
0.08,28.98,2023-01-08 06:00:00+00:00,25.0
0.08,28.85,2023-01-08 07:00:00+00:00,25.0
0.09,28.75,2023-01-08 08:00:00+00:00,24.85
0.09,28.71,2023-01-08 09:00:00+00:00,24.0
0.09,28.83,2023-01-08 10:00:00+00:00,23.62
0.09,29.01,2023-01-08 11:00:00+00:00,23.0
0.08,29.17,2023-01-08 12:00:00+00:00,23.0
0.1,29.3,2023-01-08 13:00:00+00:00,23.0
0.1,29.27,2023-01-08 14:00:00+00:00,23.0
0.09,29.14,2023-01-08 15:00:00+00:00,23.0
0.08,28.97,2023-01-08 16:00:00+00:00,23.0
0.11,28.77,2023-01-08 17:00:00+00:00,23.0
0.12,28.73,2023-01-08 18:00:00+00:00,22.97
0.1,28.8,2023-01-08 19:00:00+00:00,23.0
0.11,28.71,2023-01-08 20:00:00+00:00,23.0
0.13,28.6,2023-01-08 21:00:00+00:00,23.0
0.13,28.6,2023-01-08 22:00:00+00:00,23.0
0.14,28.61,2023-01-08 23:00:00+00:00,23.0
0.1,28.7,2023-01-09 00:00:00+00:00,23.0
0.08,28.65,2023-01-09 01:00:00+00:00,23.0
0.09,28.6,2023-01-09 02:00:00+00:00,23.0
0.1,28.55,2023-01-09 03:00:00+00:00,23.0
0.07,28.54,2023-01-09 04:00:00+00:00,23.0
0.08,28.45,2023-01-09 05:00:00+00:00,22.28
0.08,28.34,2023-01-09 06:00:00+00:00,22.0
0.08,28.3,2023-01-09 07:00:00+00:00,22.84
0.1,28.3,2023-01-09 08:00:00+00:00,23.09
0.07,28.3,2023-01-09 09:00:00+00:00,24.17
0.12,28.64,2023-01-09 10:00:00+00:00,24.54
0.1,29.0,2023-01-09 11:00:00+00:00,24.19
2.03,29.36,2023-01-09 12:00:00+00:00,23.88
1.86,29.67,2023-01-09 13:00:00+00:00,23.84
0.94,29.69,2023-01-09 14:00:00+00:00,23.45
0.42,29.54,2023-01-09 15:00:00+00:00,22.68
0.32,29.25,2023-01-09 16:00:00+00:00,22.59
0.19,28.96,2023-01-09 17:00:00+00:00,23.0
0.13,28.82,2023-01-09 18:00:00+00:00,23.0
0.1,28.7,2023-01-09 19:00:00+00:00,23.0
0.11,28.7,2023-01-09 20:00:00+00:00,23.0
0.13,28.67,2023-01-09 21:00:00+00:00,22.22
0.14,28.6,2023-01-09 22:00:00+00:00,22.0
0.12,28.63,2023-01-09 23:00:00+00:00,21.86
0.11,28.63,2023-01-10 00:00:00+00:00,21.0
0.1,28.6,2023-01-10 01:00:00+00:00,21.0
0.09,28.6,2023-01-10 02:00:00+00:00,21.0
0.09,28.6,2023-01-10 03:00:00+00:00,21.98
0.06,28.48,2023-01-10 04:00:00+00:00,22.0
0.1,28.33,2023-01-10 05:00:00+00:00,22.0
0.09,28.4,2023-01-10 06:00:00+00:00,22.0
0.12,28.32,2023-01-10 07:00:00+00:00,22.0
0.16,28.3,2023-01-10 08:00:00+00:00,22.0
0.15,28.23,2023-01-10 09:00:00+00:00,22.0
0.15,28.03,2023-01-10 10:00:00+00:00,22.0
0.2,28.31,2023-01-10 11:00:00+00:00,21.54
0.14,28.36,2023-01-10 12:00:00+00:00,21.0
0.25,28.05,2023-01-10 13:00:00+00:00,22.53
0.27,28.06,2023-01-10 14:00:00+00:00,23.0
0.44,28.2,2023-01-10 15:00:00+00:00,22.05
0.44,28.2,2023-01-10 16:00:00+00:00,22.0
0.5,28.2,2023-01-10 17:00:00+00:00,22.0
0.01,27.3,2023-01-11 02:00:00+00:00,29.0
2.15,18.29,2023-05-02 14:00:00+00:00,30.72
1.79,17.81,2023-05-02 15:00:00+00:00,32.02
1.59,17.45,2023-05-02 16:00:00+00:00,34.34
1.31,16.51,2023-05-02 17:00:00+00:00,36.53
1.09,15.39,2023-05-02 18:00:00+00:00,37.69
