datetime,pm25,temperature,humidity
2023-01-01 00:00:00+00:00,21.73,15.01,67.43
2023-01-01 01:00:00+00:00,20.05,15.01,67.87
2023-01-01 03:00:00+00:00,4.97,14.92,67.95
2023-01-01 04:00:00+00:00,5.01,14.07,71.35
2023-01-01 05:00:00+00:00,4.71,12.79,73.99
2023-01-01 06:00:00+00:00,8.14,11.95,77.1
2023-01-01 07:00:00+00:00,9.03,11.95,77.39
2023-01-01 08:00:00+00:00,8.39,11.75,77.76
2023-01-01 09:00:00+00:00,8.01,11.43,76.97
2023-01-01 10:00:00+00:00,7.77,11.86,74.57
2023-01-01 11:00:00+00:00,6.5,12.24,73.37
2023-01-01 12:00:00+00:00,6.05,12.91,72.5
2023-01-01 13:00:00+00:00,5.93,12.57,72.96
2023-01-01 14:00:00+00:00,6.38,12.25,73.11
2023-01-01 15:00:00+00:00,5.76,12.3,73.5
2023-01-01 16:00:00+00:00,5.69,11.82,77.78
2023-01-01 17:00:00+00:00,6.09,11.51,80.28
2023-01-01 18:00:00+00:00,6.61,11.6,80.37
2023-01-01 19:00:00+00:00,6.44,11.56,80.25
2023-01-01 20:00:00+00:00,6.56,10.59,85.01
2023-01-01 21:00:00+00:00,11.86,10.78,89.24
2023-01-01 22:00:00+00:00,12.71,10.8,90.71
2023-01-01 23:00:00+00:00,16.36,10.79,91.1
2023-01-02 00:00:00+00:00,16.83,10.78,91.75
2023-01-02 01:00:00+00:00,22.98,10.95,91.03
2023-01-02 02:00:00+00:00,20.45,11.12,91.74
2023-01-02 03:00:00+00:00,22.32,11.24,92.5
2023-01-02 04:00:00+00:00,26.91,11.27,92.98
2023-01-02 05:00:00+00:00,7.57,10.86,91.31
2023-01-02 06:00:00+00:00,5.11,9.75,89.99
2023-01-02 07:00:00+00:00,2.8,9.09,89.64
2023-01-02 08:00:00+00:00,2.16,8.96,90.55
2023-01-02 09:00:00+00:00,2.37,8.88,88.59
2023-01-02 10:00:00+00:00,2.74,8.88,86.69
2023-01-02 11:00:00+00:00,3.93,9.27,87.37
2023-01-02 12:00:00+00:00,3.51,9.68,86.02
2023-01-02 13:00:00+00:00,4.07,9.74,85.99
2023-01-02 14:00:00+00:00,8.9,9.48,85.47
2023-01-02 15:00:00+00:00,3.37,9.16,82.45
2023-01-02 16:00:00+00:00,3.44,8.64,81.51
2023-01-02 17:00:00+00:00,5.63,7.79,82.71
2023-01-02 18:00:00+00:00,4.51,7.13,82.8
2023-01-02 19:00:00+00:00,5.74,6.92,83.2
2023-01-02 20:00:00+00:00,5.48,6.71,81.0
2023-01-02 21:00:00+00:00,5.39,6.57,80.84
2023-01-02 22:00:00+00:00,4.3,6.19,78.57
2023-01-02 23:00:00+00:00,2.31,5.48,78.54
2023-01-03 00:00:00+00:00,2.84,4.95,79.69
2023-01-03 01:00:00+00:00,3.29,4.68,80.09
2023-01-03 02:00:00+00:00,2.97,4.56,80.07
2023-01-03 03:00:00+00:00,4.15,4.26,82.3
2023-01-03 04:00:00+00:00,10.9,3.63,86.72
2023-01-03 05:00:00+00:00,15.86,3.35,88.98
2023-01-03 06:00:00+00:00,40.02,3.18,91.99
2023-01-03 07:00:00+00:00,61.37,3.21,93.76
2023-01-03 08:00:00+00:00,59.43,4.2,91.56
2023-01-03 09:00:00+00:00,35.67,4.81,89.75
2023-01-03 10:00:00+00:00,45.0,5.8,91.12
2023-01-03 11:00:00+00:00,47.11,6.66,90.92
2023-01-03 12:00:00+00:00,45.95,7.4,90.31
2023-01-03 13:00:00+00:00,39.77,8.02,88.66
2023-01-03 14:00:00+00:00,26.24,8.49,86.66
2023-01-03 15:00:00+00:00,19.15,8.46,85.99
2023-01-03 16:00:00+00:00,14.26,8.37,85.97
2023-01-03 17:00:00+00:00,13.21,8.5,85.42
2023-01-03 18:00:00+00:00,13.03,8.43,85.81
2023-01-03 19:00:00+00:00,12.23,8.47,85.92
2023-01-03 20:00:00+00:00,9.57,8.72,85.15
2023-01-03 21:00:00+00:00,8.1,8.91,84.17
2023-01-03 22:00:00+00:00,6.48,9.14,84.26
2023-01-03 23:00:00+00:00,5.94,9.34,84.73
2023-01-04 00:00:00+00:00,8.07,8.95,90.1
2023-01-04 01:00:00+00:00,4.57,9.08,91.67
2023-01-04 03:00:00+00:00,3.16,11.47,88.03
2023-01-04 04:00:00+00:00,2.55,11.73,87.8
2023-01-04 05:00:00+00:00,3.87,11.75,88.18
2023-01-04 07:00:00+00:00,4.28,11.76,88.88
2023-01-04 08:00:00+00:00,5.63,11.44,90.14
2023-01-04 09:00:00+00:00,4.93,11.1,91.81
2023-01-04 10:00:00+00:00,12.3,11.31,91.38
2023-01-04 11:00:00+00:00,9.6,11.68,89.96
2023-01-04 12:00:00+00:00,8.24,11.39,91.76
2023-01-04 13:00:00+00:00,9.05,11.55,90.58
2023-01-04 14:00:00+00:00,8.55,11.73,88.52
2023-01-04 15:00:00+00:00,7.36,11.87,86.58
2023-01-04 16:00:00+00:00,8.8,12.13,84.26
2023-01-04 17:00:00+00:00,12.82,11.67,84.4
2023-01-04 18:00:00+00:00,13.41,11.43,83.66
2023-01-04 19:00:00+00:00,15.5,11.18,85.47
2023-01-04 20:00:00+00:00,15.83,11.21,83.85
2023-01-04 21:00:00+00:00,16.53,11.07,83.88
2023-01-04 22:00:00+00:00,15.89,11.13,82.59
2023-01-04 23:00:00+00:00,15.78,11.18,81.45
2023-01-05 00:00:00+00:00,14.16,10.86,81.89
2023-01-05 01:00:00+00:00,14.34,10.61,81.57
2023-01-05 02:00:00+00:00,14.09,10.63,82.12
2023-01-05 03:00:00+00:00,14.19,10.76,82.67
2023-01-05 04:00:00+00:00,13.41,10.66,83.1
2023-01-05 05:00:00+00:00,13.43,10.64,83.24
2023-01-05 06:00:00+00:00,12.76,10.6,83.8
2023-01-05 07:00:00+00:00,12.85,10.51,84.01
2023-01-05 08:00:00+00:00,12.24,10.41,84.11
2023-01-05 09:00:00+00:00,12.69,10.42,84.16
2023-01-05 10:00:00+00:00,12.67,10.59,83.55
2023-01-05 11:00:00+00:00,10.92,10.79,82.62
2023-01-05 12:00:00+00:00,12.53,11.1,82.0
2023-01-05 13:00:00+00:00,11.92,11.84,79.44
2023-01-05 14:00:00+00:00,14.85,10.99,83.79
2023-01-05 15:00:00+00:00,14.37,10.76,85.32
2023-01-05 16:00:00+00:00,11.46,10.18,89.02
2023-01-05 17:00:00+00:00,10.29,9.9,91.38
2023-01-05 18:00:00+00:00,16.38,10.23,92.4
2023-01-05 19:00:00+00:00,25.87,10.58,92.12
2023-01-05 20:00:00+00:00,8.08,11.08,89.68
2023-01-05 21:00:00+00:00,8.96,11.18,88.22
2023-01-05 22:00:00+00:00,8.62,11.2,88.12
2023-01-05 23:00:00+00:00,5.36,11.1,87.23
2023-01-06 00:00:00+00:00,4.26,10.87,85.96
2023-01-06 01:00:00+00:00,3.2,10.93,84.78
2023-01-06 02:00:00+00:00,2.93,11.04,83.79
2023-01-06 03:00:00+00:00,5.61,10.74,85.11
