pm25,temperature,datetime,humidity
1.72,23.44,2023-01-08 13:00:00+00:00,44.3
6.45,17.71,2023-01-28 13:00:00+00:00,38.6
4.38,14.28,2023-01-28 14:00:00+00:00,39.05
5.15,9.23,2023-01-28 15:00:00+00:00,54.18
6.48,7.64,2023-01-28 16:00:00+00:00,61.54
10.01,6.59,2023-01-28 17:00:00+00:00,66.26
11.18,5.86,2023-01-28 18:00:00+00:00,70.16
12.14,5.78,2023-01-28 19:00:00+00:00,71.41
28.5,5.71,2023-01-28 20:00:00+00:00,72.88
16.67,5.59,2023-01-28 21:00:00+00:00,74.06
16.91,5.46,2023-01-28 22:00:00+00:00,75.01
7.9,5.6,2023-01-28 23:00:00+00:00,73.83
9.83,5.63,2023-01-29 00:00:00+00:00,74.55
12.91,5.44,2023-01-29 01:00:00+00:00,75.59
17.01,5.25,2023-01-29 02:00:00+00:00,76.39
19.97,5.16,2023-01-29 03:00:00+00:00,75.53
29.78,4.94,2023-01-29 04:00:00+00:00,77.58
34.5,5.06,2023-01-29 05:00:00+00:00,76.49
36.1,5.12,2023-01-29 06:00:00+00:00,76.83
41.32,5.12,2023-01-29 07:00:00+00:00,79.27
52.63,4.84,2023-01-29 08:00:00+00:00,84.46
49.18,5.23,2023-01-29 09:00:00+00:00,84.22
27.54,6.05,2023-01-29 10:00:00+00:00,81.17
11.65,6.62,2023-01-29 11:00:00+00:00,81.31
11.73,6.92,2023-01-29 12:00:00+00:00,78.9
12.01,6.91,2023-01-29 13:00:00+00:00,82.41
19.57,6.68,2023-01-29 14:00:00+00:00,84.87
30.49,6.87,2023-01-29 15:00:00+00:00,82.81
31.31,6.51,2023-01-29 16:00:00+00:00,84.83
26.35,6.53,2023-01-29 17:00:00+00:00,86.32
26.95,6.71,2023-01-29 18:00:00+00:00,86.46
19.63,6.72,2023-01-29 19:00:00+00:00,87.06
15.26,6.86,2023-01-29 20:00:00+00:00,87.46
10.6,7.52,2023-01-29 21:00:00+00:00,85.58
11.92,7.89,2023-01-29 22:00:00+00:00,84.21
11.5,7.85,2023-01-29 23:00:00+00:00,85.27
10.27,7.99,2023-01-30 00:00:00+00:00,85.19
6.63,8.25,2023-01-30 01:00:00+00:00,83.87
7.06,8.2,2023-01-30 02:00:00+00:00,84.81
7.06,8.17,2023-01-30 03:00:00+00:00,84.95
7.91,8.61,2023-01-30 04:00:00+00:00,83.39
6.8,8.78,2023-01-30 05:00:00+00:00,79.55
8.35,7.89,2023-01-30 06:00:00+00:00,73.67
10.25,7.57,2023-01-30 07:00:00+00:00,73.5
9.07,7.49,2023-01-30 08:00:00+00:00,71.17
9.54,7.93,2023-01-30 09:00:00+00:00,70.83
9.38,8.47,2023-01-30 10:00:00+00:00,69.42
10.98,9.16,2023-01-30 11:00:00+00:00,67.39
10.16,12.15,2023-01-30 12:00:00+00:00,57.38
9.18,12.07,2023-01-30 13:00:00+00:00,56.16
9.91,10.39,2023-01-30 14:00:00+00:00,61.75
9.38,9.88,2023-01-30 15:00:00+00:00,62.74
9.63,8.54,2023-01-30 16:00:00+00:00,69.56
8.95,7.39,2023-01-30 17:00:00+00:00,73.75
8.99,7.04,2023-01-30 18:00:00+00:00,75.26
8.94,6.54,2023-01-30 19:00:00+00:00,76.6
8.01,6.31,2023-01-30 20:00:00+00:00,76.2
