pm25_HLL_298,temperature_HLL_298,datetime,humidity_HLL_298,pm25_HLL_345,temperature_HLL_345,humidity_HLL_345,winddirection,windspeed,temperature_KNMI_240,humidity_KNMI_240,pm25_NL49701,pm25_HLL_256,temperature_HLL_256,humidity_HLL_256,pm25_HLL_307,temperature_HLL_307,humidity_HLL_307,pm25_HLL_320,temperature_HLL_320,humidity_HLL_320,pm25_HLL_448,temperature_HLL_448,humidity_HLL_448,winddirection_knmi,windspeed_knmi,temperature_knmi,humidity_knmi,pm25_diff_HLL_345_HLL_345,pm25_diff_HLL_345_HLL_307,pm25_diff_HLL_345_HLL_448,pm25_diff_HLL_345_HLL_298,pm25_diff_HLL_345_HLL_320,pm25_diff_HLL_345_HLL_256,pm25_diff_HLL_307_HLL_345,pm25_diff_HLL_307_HLL_307,pm25_diff_HLL_307_HLL_448,pm25_diff_HLL_307_HLL_298,pm25_diff_HLL_307_HLL_320,pm25_diff_HLL_307_HLL_256,pm25_diff_HLL_448_HLL_345,pm25_diff_HLL_448_HLL_307,pm25_diff_HLL_448_HLL_448,pm25_diff_HLL_448_HLL_298,pm25_diff_HLL_448_HLL_320,pm25_diff_HLL_448_HLL_256,pm25_diff_HLL_298_HLL_345,pm25_diff_HLL_298_HLL_307,pm25_diff_HLL_298_HLL_448,pm25_diff_HLL_298_HLL_298,pm25_diff_HLL_298_HLL_320,pm25_diff_HLL_298_HLL_256,pm25_diff_HLL_320_HLL_345,pm25_diff_HLL_320_HLL_307,pm25_diff_HLL_320_HLL_448,pm25_diff_HLL_320_HLL_298,pm25_diff_HLL_320_HLL_320,pm25_diff_HLL_320_HLL_256,pm25_diff_HLL_256_HLL_345,pm25_diff_HLL_256_HLL_307,pm25_diff_HLL_256_HLL_448,pm25_diff_HLL_256_HLL_298,pm25_diff_HLL_256_HLL_320,pm25_diff_HLL_256_HLL_256,highhumidity,datehour,dateday
5.05,3.46,2023-04-03 06:00:00+00:00,75.07,6.09,3.29,78.95,80.0,4.0,2.7,80.0,3.4,4.88,3.29,78.34,5.1,2.82,80.57,5.32,3.66,78.72,,,,80.0,4.0,2.7,80.0,0.0,0.9900000000000002,,1.04,0.7699999999999996,1.21,-0.9900000000000002,0.0,,0.04999999999999982,-0.22000000000000064,0.21999999999999975,,,,,,,-1.04,-0.04999999999999982,,0.0,-0.27000000000000046,0.16999999999999993,-0.7699999999999996,0.22000000000000064,,0.27000000000000046,0.0,0.4400000000000004,-1.21,-0.21999999999999975,,-0.16999999999999993,-0.4400000000000004,0.0,False,6,Monday
4.7,4.01,2023-04-03 07:00:00+00:00,73.57,4.31,7.18,64.6,70.0,4.0,4.1,74.0,4.1,4.88,3.53,77.16,4.75,4.23,75.53,4.92,4.17,76.7,,,,70.0,4.0,4.1,74.0,0.0,-0.4400000000000004,,-0.39000000000000057,-0.6100000000000003,-0.5700000000000003,0.4400000000000004,0.0,,0.04999999999999982,-0.16999999999999993,-0.1299999999999999,,,,,,,0.39000000000000057,-0.04999999999999982,,0.0,-0.21999999999999975,-0.17999999999999972,0.6100000000000003,0.16999999999999993,,0.21999999999999975,0.0,0.040000000000000036,0.5700000000000003,0.1299999999999999,,0.17999999999999972,-0.040000000000000036,0.0,False,7,Monday
4.29,5.35,2023-04-03 08:00:00+00:00,66.79,3.59,12.07,45.57,90.0,5.0,5.3,67.0,4.2,4.58,4.23,73.05,4.21,5.38,70.25,4.11,5.23,70.97,,,,90.0,5.0,5.3,67.0,0.0,-0.6200000000000001,,-0.7000000000000002,-0.5200000000000005,-0.9900000000000002,0.6200000000000001,0.0,,-0.08000000000000007,0.09999999999999964,-0.3700000000000001,,,,,,,0.7000000000000002,0.08000000000000007,,0.0,0.17999999999999972,-0.29000000000000004,0.5200000000000005,-0.09999999999999964,,-0.17999999999999972,0.0,-0.46999999999999975,0.9900000000000002,0.3700000000000001,,0.29000000000000004,0.46999999999999975,0.0,False,8,Monday
3.62,7.06,2023-04-03 09:00:00+00:00,58.09,3.05,14.78,36.65,70.0,5.0,6.8,52.0,3.9,3.7,5.56,64.82,3.38,6.48,63.22,3.45,6.22,62.7,,,,70.0,5.0,6.8,52.0,0.0,-0.33000000000000007,,-0.5700000000000003,-0.40000000000000036,-0.6500000000000004,0.33000000000000007,0.0,,-0.2400000000000002,-0.07000000000000028,-0.3200000000000003,,,,,,,0.5700000000000003,0.2400000000000002,,0.0,0.16999999999999993,-0.08000000000000007,0.40000000000000036,0.07000000000000028,,-0.16999999999999993,0.0,-0.25,0.6500000000000004,0.3200000000000003,,0.08000000000000007,0.25,0.0,False,9,Monday
2.68,8.62,2023-04-03 10:00:00+00:00,46.07,2.34,17.31,27.71,80.0,7.0,7.6,49.0,3.1,2.66,7.64,51.44,2.48,7.59,52.8,2.52,7.45,51.13,,,,80.0,7.0,7.6,49.0,0.0,-0.14000000000000012,,-0.3400000000000003,-0.18000000000000016,-0.3200000000000003,0.14000000000000012,0.0,,-0.20000000000000018,-0.040000000000000036,-0.18000000000000016,,,,,,,0.3400000000000003,0.20000000000000018,,0.0,0.16000000000000014,0.020000000000000018,0.18000000000000016,0.040000000000000036,,-0.16000000000000014,0.0,-0.14000000000000012,0.3200000000000003,0.18000000000000016,,-0.020000000000000018,0.14000000000000012,0.0,False,10,Monday
2.09,9.97,2023-04-03 11:00:00+00:00,39.62,1.88,17.16,25.27,80.0,8.0,8.5,39.0,2.5,2.09,9.35,42.88,1.93,8.73,45.31,1.83,8.54,42.34,,,,80.0,8.0,8.5,39.0,0.0,-0.050000000000000044,,-0.20999999999999996,0.04999999999999982,-0.20999999999999996,0.050000000000000044,0.0,,-0.15999999999999992,0.09999999999999987,-0.15999999999999992,,,,,,,0.20999999999999996,0.15999999999999992,,0.0,0.2599999999999998,0.0,-0.04999999999999982,-0.09999999999999987,,-0.2599999999999998,0.0,-0.2599999999999998,0.20999999999999996,0.15999999999999992,,0.0,0.2599999999999998,0.0,False,11,Monday
1.48,11.02,2023-04-03 12:00:00+00:00,32.74,1.54,15.99,23.44,70.0,6.0,9.3,39.0,1.4,1.56,10.8,34.74,1.39,9.63,39.3,1.53,9.64,35.08,,,,70.0,6.0,9.3,39.0,0.0,0.15000000000000013,,0.06000000000000005,0.010000000000000009,-0.020000000000000018,-0.15000000000000013,0.0,,-0.09000000000000008,-0.14000000000000012,-0.17000000000000015,,,,,,,-0.06000000000000005,0.09000000000000008,,0.0,-0.050000000000000044,-0.08000000000000007,-0.010000000000000009,0.14000000000000012,,0.050000000000000044,0.0,-0.030000000000000027,0.020000000000000018,0.17000000000000015,,0.08000000000000007,0.030000000000000027,0.0,False,12,Monday
1.35,11.67,2023-04-03 13:00:00+00:00,31.09,1.44,14.38,25.48,100.0,6.0,9.8,38.0,1.3,1.45,11.78,32.37,1.32,9.91,37.16,1.48,10.26,33.39,,,,100.0,6.0,9.8,38.0,0.0,0.11999999999999988,,0.08999999999999986,-0.040000000000000036,-0.010000000000000009,-0.11999999999999988,0.0,,-0.030000000000000027,-0.15999999999999992,-0.1299999999999999,,,,,,,-0.08999999999999986,0.030000000000000027,,0.0,-0.1299999999999999,-0.09999999999999987,0.040000000000000036,0.15999999999999992,,0.1299999999999999,0.0,0.030000000000000027,0.010000000000000009,0.1299999999999999,,0.09999999999999987,-0.030000000000000027,0.0,False,13,Monday
1.74,12.77,2023-04-03 14:00:00+00:00,30.99,1.83,11.74,31.63,60.0,6.0,10.0,39.0,1.6,1.62,12.58,33.62,1.53,10.23,38.19,1.88,10.77,34.43,,,,60.0,6.0,10.0,39.0,0.0,0.30000000000000004,,0.09000000000000008,-0.04999999999999982,0.20999999999999996,-0.30000000000000004,0.0,,-0.20999999999999996,-0.34999999999999987,-0.09000000000000008,,,,,,,-0.09000000000000008,0.20999999999999996,,0.0,-0.1399999999999999,0.11999999999999988,0.04999999999999982,0.34999999999999987,,0.1399999999999999,0.0,0.2599999999999998,-0.20999999999999996,0.09000000000000008,,-0.11999999999999988,-0.2599999999999998,0.0,False,14,Monday
1.95,13.29,2023-04-03 15:00:00+00:00,31.29,2.13,10.92,32.79,60.0,6.0,9.6,40.0,1.8,1.87,12.77,33.77,2.06,10.23,38.8,2.49,10.98,33.98,,,,60.0,6.0,9.6,40.0,0.0,0.06999999999999984,,0.17999999999999994,-0.3600000000000003,0.2599999999999998,-0.06999999999999984,0.0,,0.1100000000000001,-0.43000000000000016,0.18999999999999995,,,,,,,-0.17999999999999994,-0.1100000000000001,,0.0,-0.5400000000000003,0.07999999999999985,0.3600000000000003,0.43000000000000016,,0.5400000000000003,0.0,0.6200000000000001,-0.2599999999999998,-0.18999999999999995,,-0.07999999999999985,-0.6200000000000001,0.0,False,15,Monday
